depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,compound,AUC,ERBB2_expr,HER2_group
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6),0.957748998302785,6.273094358271646,HER2_mid
ACH-000117,EFM192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6),0.945505664040302,11.393856978544296,HER2_high
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6),0.980182570827875,11.642241271184114,HER2_high
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6),0.808715582970505,5.314957492109641,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6),0.925298416663496,5.40356427614107,HER2_mid
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6),0.870876487232085,3.871557840445523,HER2_low
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6),0.915188029742938,6.285341180473159,HER2_mid
ACH-000927,BT474,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.874661373644507,10.471726012618872,HER2_high
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.974322278571153,4.085560624872626,HER2_low
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.902746899882371,6.273094358271646,HER2_mid
ACH-000783,CAMA1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.776775840121207,6.0496373016547365,HER2_mid
ACH-000117,EFM192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.893273937618608,11.393856978544296,HER2_high
ACH-000374,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.966091284564842,5.127798338365821,HER2_mid
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.884316481207194,11.642241271184114,HER2_high
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.829338430455986,5.314957492109641,HER2_mid
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.911730815975791,4.90433958030868,HER2_mid
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.944712210765285,5.580531438155187,HER2_mid
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.932568383875788,7.114356612854375,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.812866542788406,5.40356427614107,HER2_mid
ACH-000759,MDAMB175VII,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.915333502861121,7.454776342678837,HER2_high
ACH-000768,MDAMB231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.773147937326142,4.596684735567345,HER2_mid
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.869289749993641,3.871557840445523,HER2_low
ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.953326688368468,4.546999379348131,HER2_low
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.968498391703502,6.285341180473159,HER2_mid
ACH-000097,ZR751,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.917216405128562,6.766449400825998,HER2_mid
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,NORETYNODREL (BRD:BRD-A00758722-001-04-9),0.887645882159555,5.398114325909374,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,PREDNISOLONE-ACETATE (BRD:BRD-A01643550-001-04-9),0.939536945723749,5.40356427614107,HER2_mid
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BETAMETHASONE (BRD:BRD-A02180903-001-04-5),0.814529893807501,4.085560624872626,HER2_low
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BETAMETHASONE (BRD:BRD-A02180903-001-04-5),0.976517964469202,6.273094358271646,HER2_mid
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BETAMETHASONE (BRD:BRD-A02180903-001-04-5),0.918339823889831,11.642241271184114,HER2_high
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BETAMETHASONE (BRD:BRD-A02180903-001-04-5),0.97048478825316,5.314957492109641,HER2_mid
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BETAMETHASONE (BRD:BRD-A02180903-001-04-5),0.981403669797716,5.580531438155187,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BETAMETHASONE (BRD:BRD-A02180903-001-04-5),0.966552763543481,5.40356427614107,HER2_mid
ACH-000759,MDAMB175VII,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BETAMETHASONE (BRD:BRD-A02180903-001-04-5),0.828802761875545,7.454776342678837,HER2_high
ACH-000097,ZR751,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BETAMETHASONE (BRD:BRD-A02180903-001-04-5),0.962940531603746,6.766449400825998,HER2_mid
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,MEPIVACAINE (BRD:BRD-A03216249-003-24-3),0.982873311229615,5.580531438155187,HER2_mid
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",MEPIVACAINE (BRD:BRD-A03216249-003-24-3),0.914825425426493,3.871557840445523,HER2_low
ACH-000927,BT474,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.661642749433067,10.471726012618872,HER2_high
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",XL888 (BRD:BRD-A03506276-001-01-5),0.603952106169187,4.085560624872626,HER2_low
ACH-000212,CAL120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.571342225063933,4.591308404185142,HER2_low
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.50312333888392,6.273094358271646,HER2_mid
ACH-000783,CAMA1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.720800498356971,6.0496373016547365,HER2_mid
ACH-000117,EFM192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.785759305655862,11.393856978544296,HER2_high
ACH-000374,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.66323984516993,5.127798338365821,HER2_mid
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.61569637169961,11.642241271184114,HER2_high
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.495289430860569,5.314957492109641,HER2_mid
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,XL888 (BRD:BRD-A03506276-001-01-5),0.589703810566729,4.90433958030868,HER2_mid
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.560596335473282,5.580531438155187,HER2_mid
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.63581315384759,7.114356612854375,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.53170561425593,5.40356427614107,HER2_mid
ACH-000711,JIMT1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.480428090363942,8.432587832060696,HER2_high
ACH-000759,MDAMB175VII,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.159163067725421,7.454776342678837,HER2_high
ACH-000768,MDAMB231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.503878732872514,4.596684735567345,HER2_mid
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",XL888 (BRD:BRD-A03506276-001-01-5),0.514071869304634,3.871557840445523,HER2_low
ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.591543516934565,4.546999379348131,HER2_low
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.643811927041306,6.285341180473159,HER2_mid
ACH-000097,ZR751,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.58035177309893,6.766449400825998,HER2_mid
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,XL888 (BRD:BRD-A03506276-001-01-5),0.533016518280111,5.398114325909374,HER2_mid
ACH-000927,BT474,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.957402436016878,10.471726012618872,HER2_high
ACH-000212,CAL120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.954365463310818,4.591308404185142,HER2_low
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.972311438505157,6.273094358271646,HER2_mid
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.937481594174032,5.314957492109641,HER2_mid
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.917193274857694,7.114356612854375,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.963750668574719,5.40356427614107,HER2_mid
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.970884875660751,3.871557840445523,HER2_low
ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.990063204828041,4.546999379348131,HER2_low
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.980208605112384,6.285341180473159,HER2_mid
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.854304517792119,4.085560624872626,HER2_low
ACH-000212,CAL120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.843782825668449,4.591308404185142,HER2_low
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.83571872039625,6.273094358271646,HER2_mid
ACH-000783,CAMA1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.980626491204048,6.0496373016547365,HER2_mid
ACH-000117,EFM192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.858187132910455,11.393856978544296,HER2_high
ACH-000374,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.851774711647895,5.127798338365821,HER2_mid
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.793258886874744,11.642241271184114,HER2_high
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.894239679712106,5.314957492109641,HER2_mid
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.859011486234149,4.90433958030868,HER2_mid
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.868809775444725,5.580531438155187,HER2_mid
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.868686693263091,7.114356612854375,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.83864833845107,5.40356427614107,HER2_mid
ACH-000721,HMC18,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.869132634729026,3.5059925243950385,HER2_low
ACH-000711,JIMT1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.773028227545752,8.432587832060696,HER2_high
ACH-000768,MDAMB231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.836058590571391,4.596684735567345,HER2_mid
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.802453462826463,3.871557840445523,HER2_low
ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.842143969422264,4.546999379348131,HER2_low
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,LAPPACONITE (BRD:BRD-A05906449-004-01-1),0.883950745034347,6.285341180473159,HER2_mid
