ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030312,external encapsulating structure,95/1628,479/15050,0.19832985386221294,1.8334547301144377,6.4562077592307,2.605610879399472e-9,1.5338136328724983e-6,1.463258988251801e-6,LAMA4/COL5A2/FREM2/NID1/FMOD/MUC2/F7/FLRT2/COL3A1/ABI3BP/ADAMTS19/EDIL3/ADAMTS5/CCBE1/COL16A1/POSTN/NID2/SERPINB8/LOX/HPX/MMP2/FBN1/CTSC/MUC5AC/NCAM1/VWF/CCN3/ADAMTS12/ADAMTS6/COL2A1/PKHD1L1/EFEMP2/TGFB3/PHOSPHO1/CDH2/COL1A2/COL28A1/P3H1/VCAN/ADAMTS2/IGFBPL1/DCN/LINGO2/SRPX/HPSE/ENTPD2/CLIC3/BCAM/LAMC3/BMPER/CD248/OLFML2B/TNR/ADAMTS4/SERPINE2/GREM1/HTRA1/CTHRC1/CSPG4/S100A10/CBLN1/CDH13/CTSL/SPOCK1/TNFRSF11B/EMID1/MMP16/OTOGL/COL5A1/FN1/GPC5/CHAD/COL4A6/CRELD1/PTPRZ1/CHI3L1/CCN1/LINGO1/WNT2B/COL21A1/SMOC2/ADAMTS3/CALR/THBS1/AMTN/COL8A2/ANXA2/ACAN/SULF1/OLFML2A/ZAN/MARCO/EGFLAM/MUC4/ELN,95
GO:0031012,extracellular matrix,94/1628,478/15050,0.19665271966527198,1.8179505104191298,6.32927256921673,4.955779104596117e-9,1.5338136328724983e-6,1.463258988251801e-6,LAMA4/COL5A2/FREM2/NID1/FMOD/MUC2/F7/FLRT2/COL3A1/ABI3BP/ADAMTS19/EDIL3/ADAMTS5/CCBE1/COL16A1/POSTN/NID2/SERPINB8/LOX/HPX/MMP2/FBN1/CTSC/MUC5AC/NCAM1/VWF/CCN3/ADAMTS12/ADAMTS6/COL2A1/EFEMP2/TGFB3/PHOSPHO1/CDH2/COL1A2/COL28A1/P3H1/VCAN/ADAMTS2/IGFBPL1/DCN/LINGO2/SRPX/HPSE/ENTPD2/CLIC3/BCAM/LAMC3/BMPER/CD248/OLFML2B/TNR/ADAMTS4/SERPINE2/GREM1/HTRA1/CTHRC1/CSPG4/S100A10/CBLN1/CDH13/CTSL/SPOCK1/TNFRSF11B/EMID1/MMP16/OTOGL/COL5A1/FN1/GPC5/CHAD/COL4A6/CRELD1/PTPRZ1/CHI3L1/CCN1/LINGO1/WNT2B/COL21A1/SMOC2/ADAMTS3/CALR/THBS1/AMTN/COL8A2/ANXA2/ACAN/SULF1/OLFML2A/ZAN/MARCO/EGFLAM/MUC4/ELN,94
GO:0062023,collagen-containing extracellular matrix,71/1628,365/15050,0.19452054794520549,1.7982397091986133,5.376692376059369,5.853389652595254e-7,1.2077493983188208e-4,1.1521935421424342e-4,LAMA4/COL5A2/FREM2/NID1/FMOD/MUC2/F7/COL3A1/ABI3BP/EDIL3/ADAMTS5/COL16A1/POSTN/NID2/SERPINB8/LOX/HPX/MMP2/FBN1/CTSC/NCAM1/VWF/CCN3/COL2A1/EFEMP2/TGFB3/CDH2/COL1A2/COL28A1/P3H1/VCAN/ADAMTS2/IGFBPL1/DCN/SRPX/ENTPD2/BCAM/LAMC3/TNR/ADAMTS4/SERPINE2/GREM1/HTRA1/CTHRC1/CSPG4/S100A10/CBLN1/CDH13/CTSL/SPOCK1/COL5A1/FN1/GPC5/COL4A6/CRELD1/PTPRZ1/CCN1/WNT2B/COL21A1/SMOC2/ADAMTS3/CALR/THBS1/AMTN/COL8A2/ANXA2/ACAN/SULF1/MARCO/EGFLAM/ELN,71
GO:0016324,apical plasma membrane,68/1628,350/15050,0.19428571428571428,1.796068796068796,5.248054783537479,1.056504834637346e-6,1.634941231601293e-4,1.5597347690303977e-4,ERBB2/P2RX2/ABCC11/UPK1A/STC1/DPP4/KCNK2/HPN/CEACAM7/SLC7A8/CEACAM6/PDGFRB/LRP2/SLC9A2/ERBB3/SLC7A13/CDH2/SLC12A1/SCNN1G/OSMR/ABCB4/CLDN4/SLC4A8/SHROOM2/DDR2/MARVELD2/SHROOM4/ITPK1/CLDN1/EMP2/SLCO1A2/SCNN1B/GPR143/SLC9A8/LCT/CSPG4/SLC22A5/ATP1B3/ENPP3/SLC9A1/HIP1R/ATP2B2/TRPM6/CTSL/FAT1/PAPPA2/NHERF2/TRPV4/FN1/SPEF1/SLC9B2/MTCL1/PARD6B/ITGB3/SCNN1A/MREG/DLL1/SLC39A14/ADCY8/MAL2/IGSF5/SHANK2/SLC34A3/P2RY1/PRKAA1/FOLR1/SIPA1L3/CEACAM1,68
GO:0005911,cell-cell junction,84/1628,475/15050,0.17684210526315788,1.634811845338161,4.8962090145176616,3.423001757758423e-6,4.237676176104928e-4,4.042745233899948e-4,STARD10/FLRT2/NEXN/PLPP3/DPP4/HPN/AOC1/CCN3/POF1B/CDH6/LIN7A/CNTNAP1/CD99L2/FERMT2/POPDC1/CDH2/PRKCD/WNK3/RND1/FGFR4/JAM3/CLDN18/NECTIN3/ABCB4/VAMP5/CLDN4/DSC3/SHROOM2/MARVELD2/CDH26/FRMD5/SHROOM4/TRPC4/SPTBN4/CLDN1/VSIG10/DLG3/KCNJ2/WNK4/CDH1/TRAF4/SV2A/CCDC85B/SLC9A1/CDH13/PAK4/GJB1/TLN1/CLMP/SYNPO/MPP4/FAT1/PMP22/TRPV4/KCNJ11/KIAA1210/TNK2/PARD6B/ITGB3/CYTH2/DLL1/AKT1/LIN7B/CDH7/PPP1R9B/LRRC7/GJC2/NECTIN2/F11R/GJC1/FSCN1/AMTN/IGSF5/ANXA2/XIRP2/WWTR1/RANGRF/KRT18/SIPA1L3/CEACAM1/FLNA/KIRREL1/PACSIN2/CAMSAP3,84
GO:0030133,transport vesicle,70/1628,394/15050,0.17766497461928935,1.64241883785031,4.500192114173012,1.8845461588064334e-5,0.0019049340758922043,0.0018173080802236657,CCDC88A/SYT11/FGFR3/PTPRN2/GRIN1/SCGN/SLC17A9/SLC40A1/CPE/PLEKHF2/RAB40C/ATP8A1/RAB5B/MME/SEC16A/DGKI/FGFR4/HLA-DQA2/CACFD1/ABCC8/SLC4A8/VGF/AP1G1/ARFGEF3/STX16/PICALM/SNAP91/DNAJC5/NTF3/VMA21/AP1G2/SV2A/DISC1/MYRIP/ANP32E/DBH/RAB1B/SYTL3/AP1M1/SLC9B2/SYTL1/RAB26/ATM/SEPTIN8/TMEM184A/SYT17/SREBF1/RAB3D/SYNGR4/DPYSL3/VAMP7/MAL2/LRRK2/HLA-DQB1/NTF4/SYTL2/RPH3AL/RNF112/SLC18B1/SLC6A17/ROGDI/SYTL5/GOPC/SCAMP5/CLTA/FOLR1/CEACAM1/BLOC1S3/EDN1/NRSN2,70
GO:0045177,apical part of cell,72/1628,410/15050,0.17560975609756097,1.6234194282974772,4.457323208250454,2.1542065478587123e-5,0.0019049340758922043,0.0018173080802236657,ERBB2/C5AR2/P2RX2/ABCC11/UPK1A/STC1/DPP4/KCNK2/HPN/CEACAM7/SLC7A8/CEACAM6/PDGFRB/FAP/LRP2/SLC9A2/ERBB3/SLC7A13/CDH2/SLC12A1/SCNN1G/VCAM1/OSMR/ABCB4/CLDN4/SLC4A8/SHROOM2/DDR2/MARVELD2/SHROOM4/ITPK1/CLDN1/EMP2/SLCO1A2/SCNN1B/GPR143/SLC9A8/LCT/CSPG4/SLC22A5/ATP1B3/ENPP3/SLC9A1/HIP1R/ATP2B2/TRPM6/CTSL/FAT1/PAPPA2/NHERF2/TRPV4/FN1/SPEF1/SLC9B2/MTCL1/PARD6B/ITGB3/SCNN1A/MREG/DLL1/SLC39A14/ADCY8/USH1C/MAL2/IGSF5/SHANK2/SLC34A3/P2RY1/PRKAA1/FOLR1/SIPA1L3/CEACAM1,72
GO:0005912,adherens junction,36/1628,180/15050,0.2,1.848894348894349,3.9903116387381496,1.9190410556981817e-4,0.013863879707557156,0.013226148313816114,NEXN/PLPP3/POF1B/CDH6/LIN7A/CD99L2/FERMT2/CDH2/WNK3/RND1/NECTIN3/SHROOM2/CDH26/FRMD5/SHROOM4/SPTBN4/DLG3/CDH1/CCDC85B/CDH13/PAK4/TLN1/MPP4/TRPV4/TNK2/CYTH2/DLL1/LIN7B/CDH7/PPP1R9B/LRRC7/NECTIN2/ANXA2/KRT18/CEACAM1/CAMSAP3,36
GO:0098797,plasma membrane protein complex,79/1628,492/15050,0.16056910569105692,1.484376560596073,3.8044091461405625,2.015749876704595e-4,0.013863879707557156,0.013226148313816114,ERBB2/ITGA4/RET/CACNA2D1/KCNK2/IL6/GRIN1/CACNA1A/BMP2/KCNG3/ITGB8/GNAI1/TLR6/GNG11/CALCRL/KCNC3/CDH6/LIN7A/LRRC26/CACNA2D4/ERBB3/CDH2/VCAM1/HLA-DQA2/OSMR/KCNIP1/ATP1A4/APBB1IP/CACNA1D/TGFBR3/ADAM8/ABCC8/CD40/CATSPERG/CACHD1/KCNK6/CDH26/PICALM/CACNA1H/DLG3/KCNJ8/KCNJ2/CACNG1/GNG12/CDH1/TRAF4/JAK2/ATP1B3/TLR1/S100A10/CDH13/GJB1/KCNJ11/LRRC55/ACVR1B/TNK2/CSF2/NEO1/GNG2/LRP1/GNG13/ITGB3/SGCB/CACNA2D2/LIN7B/CDH7/GJC2/GRIK4/HLA-DQB1/GJC1/KCNH1/ANXA2/FAF1/GNG5/CLTA/ITGA11/CEACAM1/FLNA/CTTN,79
GO:0070382,exocytic vesicle,41/1628,217/15050,0.1889400921658986,1.7466513434255369,3.8583855597397774,2.598742688396741e-4,0.016086217241175826,0.015346259454637596,SYT11/PTPRN2/GRIN1/SLC40A1/RAB40C/ATP8A1/RAB5B/MME/DGKI/CACFD1/ABCC8/SLC4A8/STX16/PICALM/SNAP91/DNAJC5/NTF3/SV2A/DISC1/ANP32E/SYTL3/SLC9B2/SYTL1/RAB26/ATM/SEPTIN8/SYT17/RAB3D/SYNGR4/DPYSL3/MAL2/LRRK2/NTF4/SYTL2/RNF112/SLC18B1/SLC6A17/ROGDI/SYTL5/SCAMP5/CLTA,41
