"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","collagen-containing extracellular matrix","71/1628","432/19880",0.164351851851852,2.00695013195013,6.31948373965685,1.12782548442131e-08,6.65153496356698e-06,5.86652234684796e-06,"LAMA4/COL5A2/FREM2/NID1/FMOD/MUC2/F7/COL3A1/ABI3BP/EDIL3/ADAMTS5/COL16A1/POSTN/NID2/SERPINB8/LOX/HPX/MMP2/FBN1/CTSC/NCAM1/VWF/CCN3/COL2A1/EFEMP2/TGFB3/CDH2/COL1A2/COL28A1/P3H1/VCAN/ADAMTS2/IGFBPL1/DCN/SRPX/ENTPD2/BCAM/LAMC3/TNR/ADAMTS4/SERPINE2/GREM1/HTRA1/CTHRC1/CSPG4/S100A10/CBLN1/CDH13/CTSL/SPOCK1/FN1/COL5A1/GPC5/COL4A6/CRELD1/PTPRZ1/CCN1/WNT2B/COL21A1/SMOC2/ADAMTS3/CALR/THBS1/AMTN/COL8A2/ANXA2/ACAN/SULF1/MARCO/EGFLAM/ELN",71
"GO:0016324","apical plasma membrane","68/1628","413/19880",0.164648910411622,2.01057760379794,6.1981833310782,2.1353242258642e-08,6.65153496356698e-06,5.86652234684796e-06,"ERBB2/P2RX2/ABCC11/UPK1A/STC1/DPP4/KCNK2/HPN/CEACAM7/SLC7A8/CEACAM6/PDGFRB/LRP2/SLC9A2/ERBB3/SLC7A13/CDH2/SLC12A1/SCNN1G/OSMR/ABCB4/CLDN4/SLC4A8/SHROOM2/DDR2/MARVELD2/SHROOM4/ITPK1/CLDN1/EMP2/SLCO1A2/SCNN1B/GPR143/SLC9A8/LCT/CSPG4/SLC22A5/ATP1B3/ENPP3/SLC9A1/HIP1R/ATP2B2/TRPM6/CTSL/FAT1/PAPPA2/NHERF2/TRPV4/FN1/SPEF1/SLC9B2/MTCL1/PARD6B/ITGB3/SCNN1A/MREG/DLL1/SLC39A14/ADCY8/MAL2/IGSF5/SHANK2/SLC34A3/P2RY1/PRKAA1/FOLR1/SIPA1L3/CEACAM1",68
"GO:0030133","transport vesicle","70/1628","444/19880",0.157657657657658,1.92520530358368,5.88837405635335,7.81700053357283e-08,1.62333044413862e-05,1.43174536088597e-05,"CCDC88A/SYT11/FGFR3/PTPRN2/GRIN1/SCGN/SLC17A9/SLC40A1/CPE/PLEKHF2/RAB40C/ATP8A1/RAB5B/MME/SEC16A/DGKI/FGFR4/HLA-DQA2/CACFD1/ABCC8/SLC4A8/VGF/AP1G1/ARFGEF3/STX16/PICALM/SNAP91/DNAJC5/NTF3/VMA21/AP1G2/SV2A/DISC1/MYRIP/ANP32E/DBH/RAB1B/AP1M1/SYTL3/SLC9B2/SYTL1/RAB26/ATM/SEPTIN8/TMEM184A/SYT17/SREBF1/RAB3D/SYNGR4/DPYSL3/VAMP7/MAL2/LRRK2/HLA-DQB1/NTF4/SYTL2/RPH3AL/RNF112/SLC18B1/SLC6A17/ROGDI/SYTL5/GOPC/SCAMP5/CLTA/FOLR1/CEACAM1/BLOC1S3/EDN1/NRSN2",70
"GO:0045177","apical part of cell","72/1628","479/19880",0.150313152400835,1.83551933030012,5.52817061329283,3.44885081210492e-07,5.37158513985341e-05,4.73763190504939e-05,"ERBB2/C5AR2/P2RX2/ABCC11/UPK1A/STC1/DPP4/KCNK2/HPN/CEACAM7/SLC7A8/CEACAM6/PDGFRB/FAP/LRP2/SLC9A2/ERBB3/SLC7A13/CDH2/SLC12A1/SCNN1G/VCAM1/OSMR/ABCB4/CLDN4/SLC4A8/SHROOM2/DDR2/MARVELD2/SHROOM4/ITPK1/CLDN1/EMP2/SLCO1A2/SCNN1B/GPR143/SLC9A8/LCT/CSPG4/SLC22A5/ATP1B3/ENPP3/SLC9A1/HIP1R/ATP2B2/TRPM6/CTSL/FAT1/PAPPA2/NHERF2/TRPV4/FN1/SPEF1/SLC9B2/MTCL1/PARD6B/ITGB3/SCNN1A/MREG/DLL1/SLC39A14/ADCY8/USH1C/MAL2/IGSF5/SHANK2/SLC34A3/P2RY1/PRKAA1/FOLR1/SIPA1L3/CEACAM1",72
"GO:0005912","adherens junction","36/1628","189/19880",0.19047619047619,2.32596232596233,5.47012735793439,1.47281141073395e-06,0.00018351230177745,0.000161854222400657,"NEXN/PLPP3/POF1B/CDH6/LIN7A/CD99L2/FERMT2/CDH2/WNK3/RND1/NECTIN3/SHROOM2/CDH26/FRMD5/SHROOM4/SPTBN4/DLG3/CDH1/CCDC85B/CDH13/PAK4/TLN1/MPP4/TRPV4/TNK2/CYTH2/DLL1/LIN7B/CDH7/PPP1R9B/LRRC7/NECTIN2/ANXA2/KRT18/CEACAM1/CAMSAP3",36
"GO:0005925","focal adhesion","62/1628","424/19880",0.14622641509434,1.7856149459923,4.88354421037388,5.52366034523288e-06,0.00057354006584668,0.000505851000037116,"VIM/ITGA4/MISP/MRC2/FLRT2/NEXN/FGFR3/DPP4/GRB7/ITGB8/FHL1/PDGFRB/LAYN/FAP/CD99L2/FERMT2/MME/CDH2/APBB1IP/TNS4/ABCB4/DDR2/STX16/NPM1/AKAP12/SHROOM4/CPNE3/WASF1/MCAM/SLC6A4/CSPG4/JAK2/ZFYVE21/SLC9A1/CDH13/PAK4/PLAUR/CAP1/TLN1/FAT1/RPL19/NHERF2/TRPV4/ACTC1/LRP1/EFS/ITGB3/NECTIN2/RSU1/MAPK3/CALR/XIRP2/CASS4/ACTR2/ITGA11/CSRP2/PDPK1/FLNA/LASP1/RHOB/PACSIN2/CTTN",62
"GO:0070382","exocytic vesicle","41/1628","243/19880",0.168724279835391,2.06034317145428,4.96685232523441,7.08730965377876e-06,0.00063077055918631,0.000556327163800378,"SYT11/PTPRN2/GRIN1/SLC40A1/RAB40C/ATP8A1/RAB5B/MME/DGKI/CACFD1/ABCC8/SLC4A8/STX16/PICALM/SNAP91/DNAJC5/NTF3/SV2A/DISC1/ANP32E/SYTL3/SLC9B2/SYTL1/RAB26/ATM/SEPTIN8/SYT17/RAB3D/SYNGR4/DPYSL3/MAL2/LRRK2/NTF4/SYTL2/RNF112/SLC18B1/SLC6A17/ROGDI/SYTL5/SCAMP5/CLTA",41
"GO:0030055","cell-substrate junction","62/1628","434/19880",0.142857142857143,1.74447174447174,4.68324825969526,1.16560283058856e-05,0.000907713204320842,0.000800585102062143,"VIM/ITGA4/MISP/MRC2/FLRT2/NEXN/FGFR3/DPP4/GRB7/ITGB8/FHL1/PDGFRB/LAYN/FAP/CD99L2/FERMT2/MME/CDH2/APBB1IP/TNS4/ABCB4/DDR2/STX16/NPM1/AKAP12/SHROOM4/CPNE3/WASF1/MCAM/SLC6A4/CSPG4/JAK2/ZFYVE21/SLC9A1/CDH13/PAK4/PLAUR/CAP1/TLN1/FAT1/RPL19/NHERF2/TRPV4/ACTC1/LRP1/EFS/ITGB3/NECTIN2/RSU1/MAPK3/CALR/XIRP2/CASS4/ACTR2/ITGA11/CSRP2/PDPK1/FLNA/LASP1/RHOB/PACSIN2/CTTN",62
"GO:0005788","endoplasmic reticulum lumen","47/1628","315/19880",0.149206349206349,1.82200382200382,4.39196049155128,4.3632760655308e-05,0.00302035665425077,0.00266389486106091,"COL5A2/SCG2/F7/BPIFB2/COL3A1/ADAMTS5/COL16A1/IL6/FBN1/PDGFC/CTSC/MZB1/COLGALT2/COL2A1/P4HA3/CDH2/COL1A2/COL28A1/P3H1/VCAN/VGF/IGFBP1/IGFBP3/PLAUR/ARSD/CSF1/F5/FN1/COL5A1/CES3/COL4A6/ARSB/UGGT1/POGLUT1/CCN1/FKBP7/COL21A1/MAPK3/ARSK/CALR/SUMF2/THBS1/AMTN/COL8A2/IGFBP4/TOR4A/EDN1",47
"GO:0043296","apical junction complex","28/1628","155/19880",0.180645161290323,2.20591265752556,4.50134638562222,5.62851653231875e-05,0.00350656579963458,0.00309272171565304,"AOC1/POF1B/LIN7A/POPDC1/WNK3/JAM3/CLDN18/NECTIN3/CLDN4/SHROOM2/MARVELD2/SHROOM4/CLDN1/DLG3/WNK4/CDH1/TRAF4/CLMP/SYNPO/PMP22/PARD6B/CYTH2/LIN7B/NECTIN2/F11R/IGSF5/WWTR1/CAMSAP3",28
