"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043062","extracellular structure organization","60/1533","340/18805",0.176470588235294,2.16472890526073,6.45675845796252,9.09075434591141e-09,4.85106167412573e-05,4.22070675267401e-05,"COL5A2/LARGE1/NID1/FMOD/FLRT2/COL3A1/ABI3BP/DPP4/ADAMTS19/ADAMTS5/COL16A1/POSTN/NID2/HPN/IL6/LOX/BMP2/MMP2/COLGALT2/SLC2A10/ADAMTS12/ADAMTS6/FAP/COL2A1/PDGFRA/P4HA3/EFEMP2/COL1A2/FGFR4/COL28A1/ADAMTS2/TGFBR3/HAS3/ADAM8/DDR2/OLFML2B/TNR/RXFP1/TEX14/ADAMTS4/GREM1/TNFRSF11B/MMP16/COL5A1/LRP1/ITGB3/RGCC/COL4A6/CCN1/FOXC2/SMOC2/ADAMTS3/FSCN1/COL8A2/ANXA2/SULF1/OLFML2A/SMPD3/EGFLAM/ELN",60
"GO:0030198","extracellular matrix organization","59/1533","339/18805",0.174041297935103,2.13492929397888,6.28213295212906,2.03191707956405e-08,4.85106167412573e-05,4.22070675267401e-05,"COL5A2/LARGE1/NID1/FMOD/FLRT2/COL3A1/ABI3BP/DPP4/ADAMTS19/ADAMTS5/COL16A1/POSTN/NID2/HPN/IL6/LOX/BMP2/MMP2/COLGALT2/SLC2A10/ADAMTS12/ADAMTS6/FAP/COL2A1/PDGFRA/P4HA3/EFEMP2/COL1A2/FGFR4/COL28A1/ADAMTS2/TGFBR3/HAS3/ADAM8/DDR2/OLFML2B/TNR/RXFP1/ADAMTS4/GREM1/TNFRSF11B/MMP16/COL5A1/LRP1/ITGB3/RGCC/COL4A6/CCN1/FOXC2/SMOC2/ADAMTS3/FSCN1/COL8A2/ANXA2/SULF1/OLFML2A/SMPD3/EGFLAM/ELN",59
"GO:0045229","external encapsulating structure organization","59/1533","341/18805",0.173020527859238,2.12240771454205,6.23146013193902,2.5292292357277e-08,4.85106167412573e-05,4.22070675267401e-05,"COL5A2/LARGE1/NID1/FMOD/FLRT2/COL3A1/ABI3BP/DPP4/ADAMTS19/ADAMTS5/COL16A1/POSTN/NID2/HPN/IL6/LOX/BMP2/MMP2/COLGALT2/SLC2A10/ADAMTS12/ADAMTS6/FAP/COL2A1/PDGFRA/P4HA3/EFEMP2/COL1A2/FGFR4/COL28A1/ADAMTS2/TGFBR3/HAS3/ADAM8/DDR2/OLFML2B/TNR/RXFP1/ADAMTS4/GREM1/TNFRSF11B/MMP16/COL5A1/LRP1/ITGB3/RGCC/COL4A6/CCN1/FOXC2/SMOC2/ADAMTS3/FSCN1/COL8A2/ANXA2/SULF1/OLFML2A/SMPD3/EGFLAM/ELN",59
"GO:0061448","connective tissue development","52/1533","291/18805",0.178694158075601,2.19200498539575,6.10519191755898,5.77341121520143e-08,8.30505203306726e-05,7.22587993144685e-05,"FGF2/ZEB1/LARGE1/STC1/CRIP1/HMGA2/COL3A1/HMGCS2/FGFR3/TRPM4/LOX/BMP2/OTOR/ITGB8/CCN3/PDGFRB/ADAMTS12/XBP1/COL2A1/TSKU/BMP6/BMP5/HAND2/SCIN/PRRX1/FOXA1/RXFP1/GREM1/RARA/GPR4/SPART/MSX2/NPR2/CSF1/ERRFI1/TRPV4/COL5A1/ITGB3/SLC39A14/CHI3L1/CCN1/WNT2B/FOXC2/THRA/MAPK3/SPTLC2/SULF1/PRKAA1/DHRS7B/SMPD3/TRPS1/EDN1",52
"GO:0042063","gliogenesis","58/1533","348/18805",0.166666666666667,2.0444661883018,5.85906526019869,1.26909533356922e-07,0.000146047490987146,0.000127069840135899,"FGF2/ERBB2/ZEB2/VIM/LARGE1/CCL2/PTN/COL3A1/SRGAP2C/PLPP3/IL6/DNER/BMP2/FGF5/LRP2/CNTNAP1/NTRK2/ASCL2/ERBB3/CDH2/EGR2/HDAC11/VCAN/B4GALT6/EOMES/ABCC8/GPR157/CHRM1/LAMC3/LPAR1/CNTN1/TRPC4/TUBA1A/SERPINE2/CSPG4/TPPP/FOXG1/DISC1/CSF1/QKI/STAT3/NR3C1/LRP1/TTBK1/DLL1/AKT1/CYSLTR1/PTPRZ1/GJC2/CDK6/MAPK3/CDK5R2/CUL4B/RNF112/P2RY1/GRN/MYB/BMERB1",58
"GO:0043583","ear development","42/1533","232/18805",0.181034482758621,2.22071327350024,5.57367336427497,7.42972346953192e-07,0.000712510480728111,0.000619925698615681,"FGF2/ZEB1/ZIC1/FREM2/TCAP/EYA4/PAX8/SPRY2/KCNK2/HPN/BMP2/COL2A1/TSKU/LIN7A/TGFB3/BMP5/GATA2/PRRX1/NECTIN3/SHROOM2/BMPER/TBX2/CTHRC1/TBX18/MYCL/PDZD7/HOXA1/FOXG1/OTOGL/TPRN/CECR2/DLL1/HEY2/USH1C/JAG2/EYA1/MAPK3/ADGRV1/KCNK3/POU4F3/EDN1/SOBP",42
"GO:0002274","myeloid leukocyte activation","44/1533","251/18805",0.175298804780877,2.15035487534532,5.46606517911917,1.02009446992192e-06,0.00083851765427582,0.000729559293074987,"DHRS2/SYT11/CXCL8/IL6/CTSC/ITGB8/RHOH/TLR6/PREX1/BATF3/PLA2G2A/PRKCD/PLA2G4A/GATA2/CXCL6/IL13RA2/SCNN1B/KCNJ8/WNK4/JAK2/PLA2G10/TLR1/ENPP3/DOCK2/TMEM229B/CSF1/CSF2/FN1/ATM/TTBK1/CPLX2/CAMP/TAFA3/NECTIN2/VAMP7/MT1G/LRRK2/DNASE1/IL15/THBS1/FAM76B/GRN/PDPK1/CCL5",44
"GO:0048839","inner ear development","38/1533","205/18805",0.185365853658537,2.27384532162347,5.46338792990888,1.35752177945464e-06,0.000898303404302403,0.000781576384549371,"FGF2/ZEB1/ZIC1/FREM2/TCAP/EYA4/PAX8/SPRY2/KCNK2/HPN/BMP2/COL2A1/TSKU/LIN7A/TGFB3/GATA2/PRRX1/NECTIN3/BMPER/TBX2/CTHRC1/TBX18/MYCL/PDZD7/HOXA1/FOXG1/OTOGL/TPRN/CECR2/DLL1/HEY2/USH1C/JAG2/EYA1/ADGRV1/KCNK3/POU4F3/SOBP",38
"GO:0035924","cellular response to vascular endothelial growth factor stimulus","27/1533","122/18805",0.221311475409836,2.71478297135158,5.66096740850556,1.40506267617686e-06,0.000898303404302403,0.000781576384549371,"ERBB2/EPHA5/FGFR3/SPRY2/CCBE1/RET/GAS1/PDGFRB/ADAMTS12/XBP1/PDGFRA/NTRK2/ROS1/NUS1/VCAM1/FGFR4/DCN/NRP2/DDR2/NR4A1/EPHA1/DLL1/AKT1/MUSK/MT1G/SMOC2/ADAMTS3",27
"GO:0010977","negative regulation of neuron projection development","28/1533","131/18805",0.213740458015267,2.62191083690613,5.5496913499495,1.88443917535416e-06,0.00108430630149878,0.000943409759787828,"VIM/ULK1/TSKU/ADCY6/NLGN1/FAT3/SEMA3A/BCL11A/LPAR1/TNR/ZNF296/CDH1/INPP5J/SLIT1/SPART/GFI1/SPOCK1/PMP22/TRPV4/DKK1/NEO1/DENND5A/MYLIP/KREMEN1/DPYSL3/LRRK2/MAP2/FLNA",28
"GO:0042060","wound healing","66/1533","450/18805",0.146666666666667,1.79913024570559,5.11177247069509,2.11179254975364e-06,0.00109536042176143,0.000953027489507959,"FGF2/ERBB2/CD109/F7/SYT11/COL3A1/PLPP3/PROS1/IL6/VWF/XBP1/TMEFF2/FAP/PDGFRA/TSKU/FERMT2/ERBB3/PRKCD/DGKI/PLA2G4A/SERPINB2/SVEP1/GATA2/CD40/HPSE/ENTPD2/CLDN4/EREG/DDR2/TFPI/ITPK1/CLDN1/SERPINE2/DCBLD2/C1QTNF1/MCAM/SLC6A4/GPR4/JAK2/S100A10/PLAUR/TLN1/MSX2/NPR2/F5/FN1/COL5A1/PRKCQ/PABPC4/ITGB3/JMJD1C/CCN1/FOXC2/F11R/SMOC2/THBS1/ANXA2/GLA/P2RY1/C4BPB/CHMP4C/SAA1/CEACAM1/BLOC1S3/FLNA/EDN1",66
"GO:0050878","regulation of body fluid levels","59/1533","388/18805",0.152061855670103,1.86531193468773,5.13102341431163,2.28438044162968e-06,0.00109536042176143,0.000953027489507959,"AKR1B1/MUC2/ZNF385A/F7/COL3A1/PROS1/IL6/AGR2/VWF/XBP1/FAP/PDGFRA/ADCY6/SCNN1G/PRKCD/DGKI/CHRM3/WNK3/PLA2G4A/FOXB1/SERPINB2/SVEP1/CD40/HPSE/ENTPD2/CHRM1/ADM/FLI1/TFPI/ITPK1/EMP2/SERPINE2/SCNN1B/C1QTNF1/WNK4/NEGR1/SLC6A4/JAK2/PLAUR/TLN1/MED1/F5/TRPV4/PRKCQ/PABPC4/ITGB3/SCNN1A/JMJD1C/F11R/THBS1/ANXA2/GLA/P2RY1/C4BPB/SAA1/CEACAM1/BLOC1S3/FLNA/EDN1",59
"GO:0031345","negative regulation of cell projection organization","35/1533","188/18805",0.186170212765957,2.28371223161372,5.27007309200704,3.15853142905844e-06,0.00139801460329248,0.0012163542896034,"VIM/SRGAP2C/SPRY2/ULK1/TSKU/ADCY6/NLGN1/PRKCD/FAT3/RAP1GAP/SEMA3A/BCL11A/LPAR1/TNR/ZNF296/CDH1/INPP5J/TBC1D30/SLIT1/SPART/GFI1/SPOCK1/PMP22/TRPV4/DKK1/NEO1/DENND5A/MYLIP/AKT1/KREMEN1/DPYSL3/LRRK2/LIMK2/MAP2/FLNA",35
"GO:0007528","neuromuscular junction development","16/1533","56/18805",0.285714285714286,3.50479917994595,5.5924583120471,6.3553173572091e-06,0.00253810322967416,0.00220829792736043,"ERBB2/P2RX2/LARGE1/LIN7A/CNTNAP1/DOK7/SPTBN4/KCNJ8/FARP1/CACNA2D2/LIN7B/MUSK/LRRK2/PPFIBP2/NEDD4/FZD9",16
"GO:0043434","response to peptide hormone","69/1533","494/18805",0.139676113360324,1.71337854647155,4.78687814025357,7.01956099774909e-06,0.00253810322967416,0.00220829792736043,"ERBB2/TFF1/BTG2/F7/COL3A1/HMGCS2/EPHA5/FGFR3/RET/FBN1/MZB1/PDGFRB/XBP1/GNAI1/PDGFRA/ADCY6/NTRK2/ROS1/FBP1/EGR2/SCNN1G/PRKCD/DNAI1/FGFR4/SESN3/TGFBR3/ABCC8/EREG/VGF/DDR2/BLVRB/GPT/HDAC9/ADM/AGTR1/SLC2A8/SCNN1B/IGFBP1/KCNJ8/NR4A1/COMT/JAK2/HADH/SLC9A1/PDK2/FAT1/NPR2/ERRFI1/TRPV4/STAT3/EPHA1/PIP4K2A/PRKCQ/MAP3K7/ITGB3/SCNN1A/MAP1B/SGCB/AKT1/MUSK/SREBF1/SLC39A14/ADCY8/FOXC2/MAPK3/PRKAA1/CEACAM1/PDPK1/EDN1",69
"GO:0030199","collagen fibril organization","18/1533","69/18805",0.260869565217391,3.20003403386369,5.45431718413701,7.0576384558197e-06,0.00253810322967416,0.00220829792736043,"COL5A2/FMOD/COL3A1/ADAMTS19/LOX/COLGALT2/ADAMTS12/COL2A1/P4HA3/EFEMP2/COL1A2/ADAMTS2/DDR2/GREM1/COL5A1/FOXC2/ADAMTS3/ANXA2",18
"GO:0031589","cell-substrate adhesion","54/1533","361/18805",0.149584487534626,1.83492256235397,4.77196363535286,9.84746724016954e-06,0.00333307802940797,0.00289997239592857,"ITGA4/NID1/COL3A1/ABI3BP/EDIL3/COL16A1/POSTN/NID2/AGR2/CEACAM6/ITGB8/VWF/ADAMTS12/APOD/PREX1/FERMT2/POPDC1/EFEMP2/VCAM1/JAM3/SVEP1/HPSE/BCAM/EMP2/GREM1/JAK2/SLC9A1/S100A10/CDH13/TLN1/DISC1/SPOCK1/LYPD3/CSF1/FN1/EPHA1/ITGB3/KIF14/SRCIN1/AKIP1/CDK6/CCN1/RSU1/CALR/THBS1/ANXA2/CASS4/TTYH1/ITGA11/EGFLAM/FLNA/MUC4/CTTN/CAMSAP3",54
"GO:0007599","hemostasis","41/1533","248/18805",0.165322580645161,2.02797855775098,4.85490679302285,1.04815155064479e-05,0.00335059112356117,0.00291520980986351,"ZNF385A/F7/COL3A1/PROS1/IL6/VWF/FAP/PDGFRA/PRKCD/DGKI/PLA2G4A/SERPINB2/SVEP1/CD40/HPSE/ENTPD2/FLI1/TFPI/ITPK1/SERPINE2/C1QTNF1/SLC6A4/JAK2/PLAUR/TLN1/F5/PRKCQ/PABPC4/ITGB3/JMJD1C/F11R/THBS1/ANXA2/GLA/P2RY1/C4BPB/SAA1/CEACAM1/BLOC1S3/FLNA/EDN1",41
"GO:0048008","platelet-derived growth factor receptor signaling pathway","23/1533","106/18805",0.216981132075472,2.6616635281665,5.11106864077957,1.17211890512974e-05,0.00354966956848239,0.00308841967467981,"ERBB2/F7/EPHA5/FGFR3/RET/LOX/PDGFC/PDGFRB/APOD/PDGFRA/NTRK2/ROS1/FGFR4/DDR2/CSPG4/JAK2/HIP1R/EPHA1/LRP1/ITGB3/MUSK/SGPL1/SMPD3",23
"GO:0045664","regulation of neuron differentiation","34/1533","195/18805",0.174358974358974,2.13882616622343,4.76240625869758,1.86939091739887e-05,0.00537823766935655,0.00467938063323633,"FGF2/ZEB1/NKX2-5/ISL1/RET/BMP2/BRINP3/BMP6/TLX3/PCP4/NLGN1/RAP1GAP/GATA2/BCL11A/FOXA1/TCF4/UPF3B/NEUROD2/SLC6A4/RARA/SIX3/MYCL/FOXG1/MED1/DKK1/MAP1B/DLL1/HEY2/EYA1/LRRK2/EFNA3/CALR/RNF112/ISL2",34
"GO:0042327","positive regulation of phosphorylation","61/1533","437/18805",0.139588100686499,1.71229891285689,4.48845575681247,2.39728425095377e-05,0.0063983933869495,0.00556697564135371,"FGF2/ERBB2/CCDC88A/HMGA2/FGFR3/PLPP3/SPRY2/IL6/BMP2/FBN1/PDGFRB/XBP1/TLR6/BMP6/NTRK2/DOK7/BCL10/PRKCD/WNK3/RIPK3/TNFRSF18/ZNF268/EREG/DDR2/NTF3/GREM1/CAMK1/TRAF4/CSPG4/JAK2/PLAUR/PELI2/SLC8A2/CENPE/TNK2/DSCAM/MAP3K7/TOM1L1/ITGB3/RGCC/AKT1/KIF14/MUSK/SRCIN1/CHI3L1/ADCY8/CCN1/COPS8/LRRK2/ARRB1/LIMK2/BANK1/IL15/DVL3/THBS1/P2RY1/ARAF/CASS4/PDPK1/EDN1/CCL5",61
"GO:0010811","positive regulation of cell-substrate adhesion","25/1533","126/18805",0.198412698412698,2.43388831940691,4.81114750879419,2.55702278920708e-05,0.0063983933869495,0.00556697564135371,"NID1/ABI3BP/EDIL3/COL16A1/AGR2/CEACAM6/PREX1/FERMT2/EFEMP2/EMP2/JAK2/S100A10/CDH13/DISC1/CSF1/FN1/EPHA1/ITGB3/CDK6/CCN1/RSU1/CALR/CASS4/EGFLAM/FLNA",25
"GO:0009612","response to mechanical stimulus","37/1533","223/18805",0.165919282511211,2.03529817848879,4.63336525458773,2.55757816996591e-05,0.0063983933869495,0.00556697564135371,"FGF2/LARGE1/TCAP/BTG2/PTN/POSTN/KCNK2/HPN/MMP2/BMP6/BCL10/CDH2/TLR7/CD40/ETV1/TMEM150C/DDR2/TUBA1A/SERPINE2/MAP3K14/KCNJ2/GADD45A/PDZD7/SLC9A1/CASP1/TRPV4/ITGB3/MAP1B/CHI3L1/MAPK3/F11R/ADGRV1/THBS1/P2RY1/PTGER4/ASIC3/EDN1",37
