"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGF2 (2247)",4602.08278993532,-9.40520665785125,0.888238085974035,-10.5886099755986,3.36552202739176e-26,4.99914641948773e-22
"ERBB2 (2064)",175217.617308122,6.55512829179164,0.709802520462587,9.23514372352408,2.57939494690158e-20,1.91571662706381e-16
"TMEM63C (57156)",1366.32885721885,6.35714277005534,0.694353794401472,9.15548070927611,5.41163285745096e-20,2.67947981548588e-16
"BCAS1 (8537)",15314.0446390647,9.32050714549427,1.02623236609493,9.08225802793686,1.06345307429797e-19,3.94913299140552e-16
"CRACR2A (84766)",1672.06155974739,7.62947790754157,0.854915644723599,8.92424645007899,4.48743696674308e-19,1.33312777408003e-15
"TFF1 (7031)",8563.0650904857,11.1587866424298,1.27037603185784,8.78384538325302,1.57978813487272e-18,3.91102882589991e-15
"ZEB1 (6935)",1355.58009596076,-6.93076081764119,0.831533948945434,-8.33491022998027,7.75570138532122e-17,1.64575983396516e-13
"ZIC1 (7545)",366.70737000154,-8.22526122165746,1.00460543642093,-8.18755396244048,2.66588711975305e-16,4.94988590960147e-13
"IGDCC3 (9543)",160.037141904398,6.32283368937901,0.776333208096751,8.14448438303959,3.80901515102103e-16,6.28656789480737e-13
"C5AR2 (27202)",602.006330757247,8.77808188776054,1.08877343059942,8.06235865154043,7.48362547123321e-16,1.11161772749698e-12
"TFF3 (7033)",12915.0812099657,10.8059270439963,1.34750527853475,8.01920943548843,1.0642790872757e-15,1.43716377839938e-12
"IL7R (3575)",1416.08413894351,-7.38443782458925,0.931164482879076,-7.93032590950768,2.18571513842025e-15,2.70555105550787e-12
"LAMA4 (3910)",1418.97011214104,-6.73283556397997,0.851443520233133,-7.9075539410253,2.62495408156329e-15,2.99931291750316e-12
"KIF12 (113220)",444.84347410327,6.46709502441893,0.825742367861662,7.8318556442321,4.80721304855893e-15,4.97310937324558e-12
"ANPEP (290)",14709.0351989956,-9.02875127095853,1.15363356283209,-7.82635974008379,5.02199007665838e-15,4.97310937324558e-12
"P2RX2 (22953)",267.36011908571,7.02066209054238,0.904684461138961,7.76034340382463,8.4699727853306e-15,7.86331098458129e-12
"DHRS2 (10202)",15045.6333623912,7.15011682351121,0.931760637774576,7.67376999374926,1.67013446272884e-14,1.45930454761024e-11
"COL5A2 (1290)",13606.2775513891,-6.42838055647337,0.8415804402951,-7.63846240796572,2.19831117274944e-14,1.81409523111223e-11
"PGAP3 (93210)",18289.4254015276,5.81499349836915,0.772304194320909,7.52940815436372,5.09708237405381e-14,3.98484534653659e-11
"ZEB2 (9839)",1302.97771145676,-6.90805116241537,0.923198904606502,-7.48273327442888,7.27925254884134e-14,5.40630086802447e-11
"CCDC88A (55704)",2503.64708975752,-4.98498222269519,0.671812719686286,-7.42019624907223,1.16946919334817e-13,8.27204542761608e-11
"VIM (7431)",16944.9084482978,-6.60650814609939,0.895867573449228,-7.37442490597501,1.65055980867696e-13,1.11442797264034e-10
"LARGE1 (9215)",1752.77337924564,5.39031634052397,0.743935030164259,7.24568157428183,4.30269917340814e-13,2.77879537051324e-10
"FST (10468)",620.824506797904,-6.45934459123493,0.897691847000864,-7.19550323734723,6.2230810072793e-13,3.85156855342194e-10
"CLEC3A (10143)",5828.68158374092,12.0922254675354,1.68380425019658,7.18149123695561,6.89551048375353e-13,4.097036509027e-10
"AKR1B1 (231)",15161.1872617648,-6.67544280412653,0.932902375576782,-7.15556416071867,8.33295024827452e-13,4.76067857645653e-10
"ABCC11 (85320)",1623.31765003537,7.05382802458392,0.996074019742762,7.08163036558827,1.42468253152468e-12,7.83786456417321e-10
"CAPS (828)",2697.71296457442,5.76905788805863,0.817774170531091,7.05458560070686,1.73115855430348e-12,9.18379613057995e-10
"TOX3 (27324)",683.609923991955,8.00958165686867,1.13712733506693,7.04369810650737,1.87203519356061e-12,9.58869336729284e-10
"FREM2 (341640)",2268.4414165122,5.99478902101795,0.857845484488522,6.98819208052631,2.78451001970372e-12,1.37870372775597e-09
"PLA2G4F (255189)",678.200157159524,8.24368382096171,1.18257857146097,6.97093962287629,3.14831076069186e-12,1.50854864642958e-09
"SIM1 (6492)",749.033738678838,-8.8825083329842,1.28979775826581,-6.88674505445501,5.70833885756433e-12,2.64973954344564e-09
"UPK1A (11045)",205.957712620169,5.48960200047218,0.80470077433737,6.82191713434424,8.98334837453678e-12,4.04359565925362e-09
"ITGA4 (3676)",706.649398835183,-6.20397026042543,0.924557772074915,-6.71020291842048,1.94353951751084e-11,8.49098117444293e-09
"MISP (126353)",3766.80453807853,4.78551080596068,0.731120494841282,6.54544748742075,5.93174990846485e-11,2.51743466115248e-08
"NID1 (4811)",1378.89186885673,-6.81090441230465,1.0528094714337,-6.4692658995836,9.84801700048696e-11,4.06340123681204e-08
"SLC6A15 (55117)",1979.00900910823,-8.94493341222266,1.38695542895216,-6.44933011220159,1.12345616069567e-10,4.39153100288775e-08
"CXCL3 (2921)",534.526583409712,-7.12715958983618,1.10492934594491,-6.45033061705969,1.11606407346372e-10,4.39153100288775e-08
"RIPOR3 (140876)",2065.1066897153,6.55687597460109,1.01820541562324,6.43963965816037,1.19757477623861e-10,4.44719393156208e-08
"SRARP (149563)",658.168197812314,10.0348142526346,1.55816814250354,6.44013568170601,1.19366745705059e-10,4.44719393156208e-08
"CCDC170 (80129)",252.755689666413,6.58414487023287,1.03312893981674,6.3730136834622,1.8534934063024e-10,6.71507098956485e-08
"FOXE1 (2304)",273.363753640031,-8.27455256649315,1.30340971144151,-6.34838953082672,2.1758059017061e-10,7.69510020570057e-08
"AGR3 (155465)",766.283929629485,11.1436304834367,1.75829992454914,6.33773017211165,2.33174716732542e-10,8.05483079615159e-08
"CXCL1 (2919)",6292.17469512233,-8.71766178494749,1.38033939458613,-6.31559297600234,2.69127523706016e-10,9.08550053892991e-08
"TMEM86A (144110)",1068.69895744338,4.90014183205571,0.780130577899268,6.28118160071457,3.36009368125548e-10,1.08501807698628e-07
"ZIC4 (84107)",166.613571659463,-9.12199303110837,1.45193214539064,-6.28265794656274,3.32832836336257e-10,1.08501807698628e-07
"STARD3 (10948)",26103.5053370244,4.08266359743689,0.651744233428519,6.2642113087214,3.74717064780471e-10,1.18426537877641e-07
"SCG2 (7857)",15755.0893592801,-8.20689773224642,1.31175027951441,-6.25644824355174,3.9384372496126e-10,1.21878222720303e-07
"KLF14 (136259)",29.1212376687821,-4.9182826782149,0.786884409641051,-6.25032421274994,4.09601515439285e-10,1.24167773680309e-07
"FMOD (2331)",981.01295781258,7.74604938963373,1.24612916938213,6.21608865273128,5.09700139751494e-10,1.51421717517374e-07
"ARHGEF26 (26084)",472.870684396514,2.044200875574,0.329264635843414,6.20838272029355,5.35326508723288e-10,1.52918076164918e-07
"MUC2 (4583)",2149.01206862853,9.90049152487749,1.59398272220878,6.21116614812387,5.25928286480938e-10,1.52918076164918e-07
"TNFRSF10D (8793)",429.553649610987,-5.84361352041592,0.942525182928485,-6.19995478769007,5.64793832372674e-10,1.58291463887994e-07
"KLHDC7A (127707)",570.604125906728,7.3878550109469,1.19939957444901,6.1596278407392,7.29160972672878e-10,2.00573279408943e-07
"SRMS (6725)",2165.04270145693,6.43502031913935,1.04662169395644,6.14837276572556,7.82818854208252e-10,2.11418022916534e-07
"ZNF385A (25946)",2409.53913785843,3.72414135434003,0.607556017815224,6.12970861144965,8.80401672927604e-10,2.31183834404014e-07
"TRABD2A (129293)",2493.72930619488,-7.19111522681414,1.17338977488176,-6.1284965837876,8.87133335197844e-10,2.31183834404014e-07
"VSIG2 (23584)",233.992976438843,5.91434219748757,0.966181927288229,6.12135461288049,9.27831543587027e-10,2.37620857731754e-07
"TCAP (8557)",258.994701520769,4.33204301370339,0.711589828779877,6.08783717599125,1.1444617290984e-09,2.88132788542841e-07
"STC1 (6781)",3229.71170948562,-5.69002600775271,0.937214542123477,-6.07120968787001,1.26950293841193e-09,3.14286610786179e-07
"EID3 (493861)",122.734351137253,-4.41490106672792,0.728044945483389,-6.06405015805258,1.32735730016237e-09,3.23222382567407e-07
"IGFN1 (91156)",5682.88258658434,-7.5481198678591,1.245686592237,-6.05940524277799,1.36625785027536e-09,3.27328937225649e-07
"EYA4 (2070)",939.532890212724,-7.59640078791166,1.26154311344383,-6.02151500567791,1.72791999818072e-09,4.07405137348832e-07
"PLEKHG6 (55200)",1410.81082450417,3.90180868969737,0.649745393853621,6.00513482143499,1.911729810088e-09,4.3687437844688e-07
"CD109 (135228)",4612.16075466381,-4.09828891341237,0.682283822814878,-6.00672150851266,1.89312277303424e-09,4.3687437844688e-07
"IRX4 (50805)",529.554015336114,8.19796914416006,1.36824900334884,5.99157691625954,2.07815994360537e-09,4.60731161228569e-07
"BTG2 (7832)",1797.70728215612,3.38443734170562,0.564771695717932,5.99257605748701,2.06542784209269e-09,4.60731161228569e-07
"PTGER3 (5733)",234.249280994326,4.47993830662283,0.748086479144773,5.98852997817095,2.11746114183798e-09,4.62540702953843e-07
"F7 (2155)",396.218139603613,8.18353679833019,1.36893437618502,5.97803440449516,2.25846044208177e-09,4.79245305809751e-07
"STARD10 (10809)",15845.3360777055,4.4690680208025,0.747492628710936,5.97874527339418,2.24862851036875e-09,4.79245305809751e-07
"MRC2 (9902)",2043.8628077338,-5.1074965817976,0.855772025462288,-5.96829112173716,2.39751314974446e-09,4.94620282309781e-07
"CCL2 (6347)",267.862805420762,-6.82297733251424,1.14309253389607,-5.96887577356411,2.38893908417943e-09,4.94620282309781e-07
"NKX2-5 (1482)",384.762926132573,-7.31201406229492,1.23508315402008,-5.92026054156351,3.21431990875618e-09,6.54048053762524e-07
"PTN (5764)",361.629546508736,-7.12109142689655,1.20450341506382,-5.91205582137702,3.37863989429765e-09,6.7819347283645e-07
"BPIFB2 (80341)",111.450826633054,8.1969223134243,1.38913131213442,5.90075412009081,3.61843821701638e-09,7.16643750340818e-07
"CRIP1 (1396)",102.13025189026,4.88156364915225,0.828938095078098,5.88893631278019,3.88689187240062e-09,7.59682787797879e-07
"SYT11 (23208)",752.628360513633,-6.23959191221411,1.06135664190702,-5.87888337044083,4.13043253028117e-09,7.85424416750723e-07
"HMGA2 (8091)",1575.00836234344,-5.64759023156081,0.960961867090582,-5.8770180430359,4.17722693707467e-09,7.85424416750723e-07
"FLRT2 (23768)",540.078721718823,-6.07083966522759,1.03263870827526,-5.87895806788732,4.12856930182904e-09,7.85424416750723e-07
"GRM4 (2914)",309.801474079907,5.91938073285711,1.00792840223288,5.87281866424618,4.28447053749823e-09,7.95519067049984e-07
"ITIH6 (347365)",173.297238654052,6.77703779796959,1.1548311646021,5.86842302641239,4.39959565532233e-09,8.06809800792072e-07
"HES7 (84667)",176.779672255035,-4.85662643056105,0.82810166719703,-5.86477074366947,4.49753672154126e-09,8.14712322704559e-07
"CXCL8 (3576)",3392.37513336816,-6.61590831524217,1.1314228648987,-5.84742320532341,4.99246192317669e-09,8.9347023381767e-07
"COL3A1 (1281)",4347.67352474656,-6.98020547269143,1.19616564796402,-5.8354839771334,5.36346510493251e-09,9.48439412722232e-07
"ABI3BP (25890)",4880.64888824063,-7.91346104045978,1.35994331925478,-5.81896387034439,5.92135304449747e-09,1.03477386027018e-06
"NEXN (91624)",507.900370246205,-5.6241285955967,0.968256387818494,-5.80851173961062,6.30306107729417e-09,1.08867057258288e-06
"SCGB2A2 (4250)",3079.3913354085,8.16816243753161,1.41118753988722,5.78814807150607,7.11666651527196e-09,1.21010677233611e-06
"HMGCS2 (3158)",997.719249220405,8.26881093859975,1.42888059803942,5.78691526076111,7.16907203215146e-09,1.21010677233611e-06
"SYDE1 (85360)",2209.16083198804,-3.75333237158744,0.651743971579948,-5.75890615833188,8.46607492995286e-09,1.41297839336539e-06
"RASD1 (51655)",2680.33775708122,7.00097582518306,1.21615223869774,5.75666072257508,8.57940967313217e-09,1.41598390316339e-06
"TPM2 (7169)",11991.4079400593,-5.69380504751282,0.990883950429674,-5.74618757831715,9.12780449231241e-09,1.48993854866823e-06
"SCGB1D2 (10647)",205.80709065863,8.53611038559676,1.48860456585683,5.73430350906081,9.79138608980887e-09,1.56411867844704e-06
"LRCH2 (57631)",179.343381920309,-7.27978397852713,1.26952056205184,-5.73427811737159,9.79285290800959e-09,1.56411867844704e-06
"FEM1B (10116)",4212.09811183238,1.11206950066502,0.194523931190076,5.71687757830873,1.08499224169934e-08,1.71451859129808e-06
"MIEN1 (84299)",6857.56922580528,4.04802657071463,0.708723429672473,5.71171546083268,1.11842977558259e-08,1.74875325121093e-06
"SRGAP2C (653464)",759.33479964574,-1.82569709159521,0.32035358662234,-5.69900624757948,1.2050780992742e-08,1.86460730068948e-06
"EPHA5 (2044)",149.243395522312,-6.41969029877134,1.12702683895021,-5.69612903340536,1.22558136669825e-08,1.87678202277689e-06
"IYD (389434)",650.09918465266,8.92109716546402,1.57018563160766,5.68155572556729,1.33475010316813e-08,2.02309979923055e-06
"FGFR3 (2261)",2149.93823362316,3.7835251398293,0.66658543681744,5.67597929815785,1.37897456072247e-08,2.06901900252238e-06
"PLPP3 (8613)",2450.0397995152,-3.45743206938043,0.609986667407097,-5.66804531003459,1.44435775023971e-08,2.14544900220607e-06
"LRFN2 (57497)",79.2053010169228,8.61254118657248,1.52054339408815,5.66412061639142,1.47780433149055e-08,2.17339658811491e-06
"PAX8 (7849)",456.237694311615,-4.69965535305112,0.831334940899388,-5.65314306164823,1.57540074115397e-08,2.28998830841369e-06
"PRRT1B (642515)",275.362432448212,7.86913738933219,1.39232814944354,5.65178359173243,1.58791433800061e-08,2.28998830841369e-06
"DPP4 (1803)",1270.47767512784,-7.25818903790818,1.28528133538171,-5.64715976035909,1.63120233911766e-08,2.32979611012056e-06
"MS4A7 (58475)",246.071235274736,9.49670412283747,1.68449277332939,5.6377232797902,1.72313108162827e-08,2.43765610347679e-06
"ISL1 (3670)",124.250743225089,-7.25297855723157,1.28995930069526,-5.62264139133876,1.88059531494188e-08,2.61068811291091e-06
"VAPB (9217)",11507.679331633,1.88968461812031,0.336073568477296,5.62283022340083,1.87854003258665e-08,2.61068811291091e-06
"RNF208 (727800)",335.258664894318,2.4852453512695,0.443500593692692,5.60370242253061,2.09820814990489e-08,2.88581332024882e-06
"SPRY2 (10253)",5075.13447362988,-5.27111464231531,0.941234580701285,-5.60021353910304,2.14087916733855e-08,2.91748799556393e-06
"ATG9B (285973)",76.5716349267508,3.72111748681549,0.665432808448015,5.59202588086125,2.24435355240317e-08,3.03069342430878e-06
"ACSM1 (116285)",24.390775203655,4.869568863514,0.871262214820812,5.58909680768779,2.28253685000482e-08,3.05448669999744e-06
"SPRING1 (79794)",3638.70457874024,0.803787926852073,0.144076986233604,5.57887798644555,2.42074962136234e-08,3.16576688750279e-06
"CAPN9 (10753)",377.423501814625,6.9738523355771,1.25052916272599,5.57672107412116,2.45094380007285e-08,3.16576688750279e-06
"ADAMTS19 (171019)",113.739366407238,6.3373597089698,1.13599913065808,5.57866598480457,2.42370131685947e-08,3.16576688750279e-06
"EDIL3 (10085)",1237.10842590991,-6.52616629683169,1.17012888156187,-5.57730554271993,2.4427260301291e-08,3.16576688750279e-06
"ADAMTS5 (11096)",52.3370922216479,-5.4677263012555,0.981029484235874,-5.57345766780325,2.49732357714736e-08,3.19786589784026e-06
"TRPM4 (54795)",4548.97117134359,2.32166598477957,0.416706881444031,5.57146063135365,2.52612452231062e-08,3.20709860294033e-06
"CCBE1 (147372)",874.15866705576,-7.20979727951277,1.29633906423929,-5.56166012303545,2.67220335613788e-08,3.36380581797221e-06
"ORMDL3 (94103)",16782.7750465444,3.81043219382866,0.685517405267095,5.55847621745508,2.72140030521323e-08,3.39694791038969e-06
"RBMS3 (27303)",125.804830256671,-5.38668173012761,0.971107967534604,-5.54694422269341,2.90705428588356e-08,3.5984486968762e-06
"HGD (3081)",455.531842407054,6.3177682715392,1.14362046805122,5.52435746651592,3.30693568702183e-08,4.0596051814068e-06
"COL16A1 (1307)",1986.04159624668,-6.09125774936051,1.1045917326717,-5.51448790461925,3.49796961524356e-08,4.25892136596949e-06
"SYNPO2L (79933)",109.616590006764,5.90197789555254,1.07104028563602,5.51050971163771,3.5779606774962e-08,4.32089657752265e-06
"PROS1 (5627)",1103.12753339892,-5.49633373017912,0.998225074221439,-5.50610666083094,3.66856312448119e-08,4.39458360089061e-06
"FNDC1 (84624)",164.863021897071,-7.55044751409292,1.37225365867983,-5.50222436379348,3.75029268826702e-08,4.45654780732146e-06
"DDX43 (55510)",187.537208414426,-8.16603535426643,1.48515797469067,-5.49842878227633,3.83190240869591e-08,4.51738717291818e-06
"RET (5979)",1262.77201144443,5.47372510304806,0.99716718644104,5.48927519625286,4.03586409159755e-08,4.72037206429843e-06
"GLIPR1 (11010)",3500.92612131066,-5.81580443659261,1.06110964302956,-5.48087040278704,4.2323843232032e-08,4.8872220453925e-06
"MSC (9242)",321.385506335474,-8.87022172082946,1.61854369607915,-5.48037210383455,4.24432236337439e-08,4.8872220453925e-06
"TMEM158 (25907)",1311.2762234198,-5.74689980092982,1.04991714494982,-5.47366983058884,4.40810023802697e-08,5.03676314889636e-06
"POSTN (10631)",2234.34409627787,-6.77341339783739,1.23821379554132,-5.47031007264475,4.49248905728395e-08,5.09400247762563e-06
"PGCKA1 (55286)",774.493957589462,5.0499342441476,0.925773034427253,5.45482970053436,4.90198023568686e-08,5.4747379263829e-06
"ULK1 (8408)",4611.72425796574,1.70785132865408,0.31306838378686,5.45520217658516,4.89171556903001e-08,5.4747379263829e-06
"XG (7499)",170.421736295234,6.54642229665754,1.20151660584204,5.44846593449261,5.08061195233352e-08,5.63189626417628e-06
"MUC19 (283463)",978.610434093577,7.96830119292428,1.46470663729895,5.44020282970693,5.32199445861888e-08,5.85577079172776e-06
"GRB7 (2886)",17792.5805971385,6.56261895799853,1.2067328430999,5.43833624445013,5.37804073359446e-08,5.87392772476559e-06
"ZNF541 (84215)",54.4341421162516,5.36295874242386,0.988517447521513,5.42525451206782,5.78720180589828e-08,6.27467851276008e-06
"CEND1 (51286)",285.616047309776,-5.35854614232333,0.990248294612017,-5.41131569877919,6.25633629165961e-08,6.73417530987768e-06
"CACNA2D1 (781)",472.266769455488,-4.72488941591361,0.874256038624985,-5.40446872216615,6.50007643433866e-08,6.89658109683332e-06
"CNTNAP3B (728577)",134.942021978639,-5.74245958991332,1.06250540354026,-5.404640363032,6.49385541639613e-08,6.89658109683332e-06
"CST4 (1472)",262.138275236597,9.3426856138135,1.73142060876569,5.39596535152355,6.81560993078994e-08,7.18007588028041e-06
"NID2 (22795)",1289.78366283952,-6.24075301106936,1.15842419114146,-5.38727787177857,7.1532798125426e-08,7.48273368559913e-06
"LY6K (54742)",576.393046037379,-6.52461282427138,1.21430962577878,-5.3731047549647,7.7392336381209e-08,8.03906129095439e-06
"KCNK2 (3776)",213.224990216598,-5.01480324072237,0.933794544315809,-5.37034968907075,7.85841100809643e-08,8.10616924404613e-06
"ABAT (18)",1390.37551117111,3.76561121937533,0.703389313314237,5.35352350127767,8.62578261056282e-08,8.83637068257242e-06
"UBXN10 (127733)",252.359632291992,7.16264875490274,1.33979155346673,5.34609188748004,8.98735953182072e-08,9.14371496477157e-06
"LIX1L (128077)",1256.12835796363,-4.4591101829246,0.835466458324524,-5.33727014231914,9.43564056977498e-08,9.53449013764881e-06
"SLC35A2 (7355)",4220.68707516497,1.11335663525454,0.208985054047241,5.32744621537802,9.96032592932658e-08,9.95383893288029e-06
"AK5 (26289)",749.695935481902,-6.03019724032374,1.13226402176268,-5.32578720547535,1.00516752385354e-07,9.95383893288029e-06
"C1S (716)",7513.22733943609,-6.60575435601428,1.24031613155333,-5.32586345365149,1.00474590990552e-07,9.95383893288029e-06
"PTPRN2 (5799)",2621.84505873778,6.99491653095308,1.31372751468587,5.32448049748401,1.01241963027243e-07,9.95925906494485e-06
"SERPINB8 (5271)",1490.81809554348,-4.47919861620378,0.841447039941632,-5.32320919034249,1.01952385610801e-07,9.96316273593974e-06
"HPN (3249)",253.793620755883,7.6356962603333,1.43549756051556,5.31919835349001,1.04225458550542e-07,1.01187252373187e-05
"IL6 (3569)",332.131018720871,-6.17482656914288,1.16171502239934,-5.31526790140817,1.06500520192611e-07,1.02724592658509e-05
"CCL20 (6364)",239.826783517595,-5.74345583376705,1.08092246922943,-5.31347621801357,1.07553478119057e-07,1.03070926708418e-05
"NTNG1 (22854)",45.7994623092207,-3.38615554288491,0.637504980463586,-5.31157504122169,1.08681800691971e-07,1.03484581248624e-05
"DNAJA4 (55466)",1925.47862455023,4.30122008278933,0.810516522075332,5.30676422459105,1.11588363375518e-07,1.05575385323564e-05
"AGR2 (10551)",13482.9449687943,6.80123952558375,1.28195620664554,5.30536026919388,1.12450679525898e-07,1.05717873017575e-05
"RGS4 (5999)",674.402854056986,-6.6362095841869,1.25231719246878,-5.2991443574327,1.16346621437647e-07,1.08234338003196e-05
"ZBTB46 (140685)",579.638513750155,2.50109289707684,0.472013770604695,5.29877103770235,1.16584718463117e-07,1.08234338003196e-05
"DNER (92737)",3273.6655362013,-6.44317869861502,1.21787925911537,-5.29049053950975,1.21988732280069e-07,1.12547865173177e-05
"KIAA0513 (9764)",2366.66099293598,2.53207066194519,0.478853086064046,5.28778185968823,1.23808498328892e-07,1.13521693467738e-05
"TMEM178A (130733)",114.603573480258,3.9685088890702,0.750977934231016,5.2844547198765,1.26079727943622e-07,1.14894986434022e-05
"CACNA1A (773)",476.666296152095,-5.87939070411263,1.11310309481629,-5.28198217352274,1.27793635723961e-07,1.15045252426892e-05
"GRIN1 (2902)",591.444041035912,5.13091003283059,0.971299222018113,5.28252253941876,1.27417153418292e-07,1.15045252426892e-05
"POLR3G (10622)",1075.77077608296,-3.09504592126285,0.586999519962246,-5.27265494435484,1.34464229881193e-07,1.20321184979231e-05
"LOX (4015)",4337.29698970587,-6.51477257809462,1.23657654922829,-5.2683940853967,1.37622409855776e-07,1.2240977700585e-05
"MAPK10 (5602)",777.653564881197,4.85181550999341,0.921557479816998,5.26479966388735,1.40342310471898e-07,1.23351756198199e-05
"BMP2 (650)",313.742534457164,-5.9325179647392,1.12674633647163,-5.26517617382868,1.40054985201093e-07,1.23351756198199e-05
"CEACAM7 (1087)",115.284959755404,9.7145866412483,1.8467364755712,5.26040762705115,1.43736398788721e-07,1.25591792212216e-05
"RHBG (57127)",266.265321788458,6.00616872496858,1.14628372953851,5.23968767085845,1.6084859535566e-07,1.39721931895495e-05
"SLC7A8 (23428)",2224.21951282599,5.97567891383558,1.14082271429146,5.23804342162574,1.6228788539695e-07,1.4015257265618e-05
"INSYN2B (100131897)",172.537189441411,-6.99112610124194,1.33605817715768,-5.23265095844464,1.67096088185599e-07,1.43470826237508e-05
"ARX (170302)",70.9509078932174,3.71038223040968,0.709617615569319,5.22870648783554,1.70700112528406e-07,1.45126364563282e-05
"ATP9A (10079)",13011.4903460995,3.29632792321788,0.630465251171991,5.22840539917185,1.70978280588221e-07,1.45126364563282e-05
"HPX (3263)",499.364441587514,4.54581729097262,0.871245687726511,5.21760664644986,1.81249867931646e-07,1.52970769219129e-05
"MSI1 (4440)",480.06692174323,4.08263141295554,0.782774507526861,5.21559066333729,1.83232409921567e-07,1.53770294744347e-05
"MMP2 (4313)",1471.60212175803,-5.4800893737273,1.05146007794614,-5.21188534749867,1.86931070286665e-07,1.5599292797967e-05
"SYCP2L (221711)",115.108790710307,-4.76600372491981,0.914762043044369,-5.21010219123034,1.88736646218583e-07,1.56619784521275e-05
"LRRC31 (79782)",698.375296370683,8.71680774194207,1.67583922734909,5.20145823041192,1.97730914925795e-07,1.63171945017097e-05
"FBN1 (2200)",4022.9226380909,-5.08391981081809,0.977848879144569,-5.19908537939477,2.00271524610406e-07,1.64355426881932e-05
"C11orf86 (254439)",38.1629211550089,-5.65332023826287,1.08787066646617,-5.19668413950997,2.02874636714707e-07,1.65576915041772e-05
"IGSF22 (283284)",82.8606231918864,4.84596009778814,0.93346182601348,5.19138540296147,2.08735045726212e-07,1.69428981924435e-05
"KCNG3 (170850)",95.9715079450701,-2.89409761742091,0.558620563887379,-5.18079319758872,2.20944340530667e-07,1.77932326741083e-05
"MUCL1 (118430)",1785.92589770918,7.67924266316726,1.4824120988783,5.18023474645,2.21606842918408e-07,1.77932326741083e-05
"FGF5 (2250)",882.637757656688,-6.9076368107523,1.33380160714399,-5.17890874756353,2.23187602387685e-07,1.78140243258652e-05
"PDGFC (56034)",2642.90459563203,-4.28772977132286,0.828065062010875,-5.17801072407345,2.24264342866353e-07,1.78140243258652e-05
"CTSC (1075)",22506.5353753127,-4.95558534435638,0.959604522888439,-5.16419548486487,2.4147523609281e-07,1.90791125368224e-05
"SERINC2 (347735)",6889.47461860578,4.15880936749991,0.805602649804175,5.1623581036021,2.4385821302732e-07,1.91654491868139e-05
"MAP3K20 (51776)",13101.3904701832,-2.92554171499074,0.567343152777159,-5.15656477154989,2.51521503677908e-07,1.96636863980613e-05
