"SYMBOL","ENTREZID"
"FGF2","2247"
"ERBB2","2064"
"TMEM63C","57156"
"BCAS1","8537"
"CRACR2A","84766"
"TFF1","7031"
"ZEB1","6935"
"ZIC1","7545"
"IGDCC3","9543"
"C5AR2","27202"
"TFF3","7033"
"IL7R","3575"
"LAMA4","3910"
"KIF12","113220"
"ANPEP","290"
"P2RX2","22953"
"DHRS2","10202"
"COL5A2","1290"
"PGAP3","93210"
"ZEB2","9839"
"CCDC88A","55704"
"VIM","7431"
"LARGE1","9215"
"FST","10468"
"CLEC3A","10143"
"AKR1B1","231"
"ABCC11","85320"
"CAPS","828"
"TOX3","27324"
"FREM2","341640"
"PLA2G4F","255189"
"SIM1","6492"
"UPK1A","11045"
"ITGA4","3676"
"MISP","126353"
"NID1","4811"
"SLC6A15","55117"
"CXCL3","2921"
"RIPOR3","140876"
"SRARP","149563"
"CCDC170","80129"
"FOXE1","2304"
"AGR3","155465"
"CXCL1","2919"
"TMEM86A","144110"
"ZIC4","84107"
"STARD3","10948"
"SCG2","7857"
"KLF14","136259"
"FMOD","2331"
"ARHGEF26","26084"
"MUC2","4583"
"TNFRSF10D","8793"
"KLHDC7A","127707"
"SRMS","6725"
"ZNF385A","25946"
"TRABD2A","129293"
"VSIG2","23584"
"TCAP","8557"
"STC1","6781"
"EID3","493861"
"IGFN1","91156"
"EYA4","2070"
"PLEKHG6","55200"
"CD109","135228"
"IRX4","50805"
"BTG2","7832"
"PTGER3","5733"
"F7","2155"
"STARD10","10809"
"MRC2","9902"
"CCL2","6347"
"NKX2-5","1482"
"PTN","5764"
"BPIFB2","80341"
"CRIP1","1396"
"SYT11","23208"
"HMGA2","8091"
"FLRT2","23768"
"GRM4","2914"
"ITIH6","347365"
"HES7","84667"
"CXCL8","3576"
"COL3A1","1281"
"ABI3BP","25890"
"NEXN","91624"
"SCGB2A2","4250"
"HMGCS2","3158"
"SYDE1","85360"
"RASD1","51655"
"TPM2","7169"
"SCGB1D2","10647"
"LRCH2","57631"
"FEM1B","10116"
"MIEN1","84299"
"SRGAP2C","653464"
"EPHA5","2044"
"IYD","389434"
"FGFR3","2261"
"PLPP3","8613"
"LRFN2","57497"
"PAX8","7849"
"PRRT1B","642515"
"DPP4","1803"
"MS4A7","58475"
"ISL1","3670"
"VAPB","9217"
"RNF208","727800"
"SPRY2","10253"
"ATG9B","285973"
"ACSM1","116285"
"SPRING1","79794"
"CAPN9","10753"
"ADAMTS19","171019"
"EDIL3","10085"
"ADAMTS5","11096"
"TRPM4","54795"
"CCBE1","147372"
"ORMDL3","94103"
"RBMS3","27303"
"HGD","3081"
"COL16A1","1307"
"SYNPO2L","79933"
"PROS1","5627"
"FNDC1","84624"
"DDX43","55510"
"RET","5979"
"GLIPR1","11010"
"MSC","9242"
"TMEM158","25907"
"POSTN","10631"
"PGCKA1","55286"
"ULK1","8408"
"XG","7499"
"MUC19","283463"
"GRB7","2886"
"ZNF541","84215"
"CEND1","51286"
"CACNA2D1","781"
"CNTNAP3B","728577"
"CST4","1472"
"NID2","22795"
"LY6K","54742"
"KCNK2","3776"
"ABAT","18"
"UBXN10","127733"
"LIX1L","128077"
"SLC35A2","7355"
"AK5","26289"
"C1S","716"
"PTPRN2","5799"
"SERPINB8","5271"
"HPN","3249"
"IL6","3569"
"CCL20","6364"
"NTNG1","22854"
"DNAJA4","55466"
"AGR2","10551"
"RGS4","5999"
"ZBTB46","140685"
"DNER","92737"
"KIAA0513","9764"
"TMEM178A","130733"
"CACNA1A","773"
"GRIN1","2902"
"POLR3G","10622"
"LOX","4015"
"MAPK10","5602"
"BMP2","650"
"CEACAM7","1087"
"RHBG","57127"
"SLC7A8","23428"
"INSYN2B","100131897"
"ARX","170302"
"ATP9A","10079"
"HPX","3263"
"MSI1","4440"
"MMP2","4313"
"SYCP2L","221711"
"LRRC31","79782"
"FBN1","2200"
"C11orf86","254439"
"IGSF22","283284"
"KCNG3","170850"
"MUCL1","118430"
"FGF5","2250"
"PDGFC","56034"
"CTSC","1075"
"SERINC2","347735"
"MAP3K20","51776"
"CEP85L","387119"
"SIDT1","54847"
"CEACAM6","4680"
"OTOR","56914"
"MUC5AC","4586"
"GOLGA3","2802"
"HORMAD1","84072"
"ITGB8","3696"
"GAS1","2619"
"TOB1","10140"
"AOC1","26"
"RHOH","399"
"NCAM1","4684"
"CPA4","51200"
"VWF","7450"
"FHL1","2273"
"SMIM14","201895"
"CCN3","4856"
"ACER1","125981"
"SCGN","10590"
"MZB1","51237"
"COLGALT2","23127"
"SLC2A10","81031"
"PDGFRB","5159"
"PSCA","8000"
"ADAMTS12","81792"
"LAYN","143903"
"XBP1","7494"
"GNAI1","2770"
"ZER1","10444"
"LRP3","4037"
"SLC17A9","63910"
"USP30","84749"
"SLC40A1","30061"
"C1R","715"
"BRINP3","339479"
"S1PR1","1901"
"PLTP","5360"
"TMEFF2","23671"
"CAVIN4","347273"
"PNMA2","10687"
"CAMSAP2","23271"
"DPF3","8110"
"POF1B","79983"
"APOD","347"
"S100A2","6273"
"PTGFR","5737"
"ALX1","8092"
"TNFSF12","8742"
"CPE","1363"
"PLEKHF2","79666"
"ADAMTS6","11174"
"FAP","2191"
"TRIT1","54802"
"COL2A1","1280"
"RASSF8","11228"
"TLR6","10333"
"LY6E","4061"
"PDGFRA","5156"
"CNRIP1","25927"
"GNG11","2791"
"TSKU","25987"
"PKHD1L1","93035"
"PREX1","57580"
"BMP6","654"
"CAND2","23066"
"HSH2D","84941"
