Compuesto completo,Compuesto,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor,Criterio n>=3,FDR
CEPHALOMANNINE (BRD:BRD-K68904758-001-03-5),CEPHALOMANNINE,5,5,0.605063795165262,0.488145966218337,0.11691782894692498,0.007936507936507936,Sí,0.38228905597326646
CMPD-1 (BRD:BRD-K54095730-001-03-1),CMPD-1,5,5,0.922427072712685,0.836844072749624,0.08558299996306096,0.007936507936507936,Sí,0.38228905597326646
ER-27319 (BRD:BRD-K11927976-050-02-9),ER-27319,5,5,0.863316122940566,0.819078247188588,0.04423787575197802,0.007936507936507936,Sí,0.38228905597326646
NEMORUBICIN (BRD:BRD-K51911221-001-01-2),NEMORUBICIN,5,5,0.410642695723177,0.398486740184365,0.012155955538812047,0.007936507936507936,Sí,0.38228905597326646
OXIBENDAZOLE (BRD:BRD-K52075715-001-06-7),OXIBENDAZOLE,5,5,0.859592455334568,0.800545761224594,0.059046694109973985,0.007936507936507936,Sí,0.38228905597326646
RUBITECAN (BRD:BRD-K79821389-001-03-5),RUBITECAN,5,5,0.612031342469924,0.352580052073241,0.25945129039668297,0.007936507936507936,Sí,0.38228905597326646
SEPANTRONIUM BROMIDE (BRD:BRD-K76703230-004-04-1),SEPANTRONIUM BROMIDE,5,5,0.431122393535902,0.129887348005173,0.301235045530729,0.007936507936507936,Sí,0.38228905597326646
TOPOTECAN (BRD:BRD-K55696337-003-24-4),TOPOTECAN,5,5,0.726965324979557,0.489008464271443,0.237956860708114,0.007936507936507936,Sí,0.38228905597326646
VELBAN (BRD:BRD-K06519765-065-01-6),VELBAN,5,5,0.68065142152417,0.309593249505525,0.371058172018645,0.007936507936507936,Sí,0.38228905597326646
VINDESINE (BRD:BRD-K59753975-001-02-6),VINDESINE,5,5,0.768388722091438,0.363532465527401,0.40485625656403706,0.007936507936507936,Sí,0.38228905597326646
10-HYDROXYCAMPTOTHECIN (BRD:BRD-K63784565-001-06-2),10-HYDROXYCAMPTOTHECIN,5,4,0.526395750484696,0.245346688579506,0.28104906190518997,0.015873015873015872,Sí,0.38228905597326646
AZD5438 (BRD:BRD-K72414522-001-06-7),AZD5438,5,4,0.879775017538697,0.8134171171365201,0.06635790040217693,0.015873015873015872,Sí,0.38228905597326646
BNC105 (BRD:BRD-K20468903-001-01-6),BNC105,4,5,0.745690086254195,0.408991223167816,0.336698863086379,0.015873015873015872,Sí,0.38228905597326646
CANERTINIB (BRD:BRD-K50168500-001-07-9),CANERTINIB,5,5,0.8212459257585515,0.9505704186043828,-0.12932449284583136,0.015873015873015872,Sí,0.38228905597326646
CYT-997 (BRD:BRD-K23363278-001-02-1),CYT-997,4,5,0.6553644047785105,0.536603017586546,0.1187613871919645,0.015873015873015872,Sí,0.38228905597326646
DINACICLIB (BRD:BRD-K13662825-001-07-5),DINACICLIB,4,5,0.781549987843766,0.554394719775519,0.22715526806824693,0.015873015873015872,Sí,0.38228905597326646
GEFITINIB (BRD:BRD-K64052750-001-22-5),GEFITINIB,5,4,0.6751559262881893,0.9187664431011355,-0.2436105168129462,0.015873015873015872,Sí,0.38228905597326646
GENZ-644282 (BRD:BRD-K99475619-001-01-2),GENZ-644282,5,4,0.441138663779056,0.2797689525390915,0.16136971123996446,0.015873015873015872,Sí,0.38228905597326646
A-674563 (BRD:BRD-K78177893-001-02-4),A-674563,4,4,0.8241340885046584,0.746146270454753,0.0779878180499054,0.02857142857142857,Sí,0.38228905597326646
CLONAZEPAM (BRD:BRD-K38183498-001-02-0),CLONAZEPAM,4,4,0.763486201838626,0.6401653208665725,0.12332088097205351,0.02857142857142857,Sí,0.38228905597326646
DCEBIO (BRD:BRD-K89299012-001-06-0),DCEBIO,4,4,0.884385600393041,0.79070284539438,0.09368275499866108,0.02857142857142857,Sí,0.38228905597326646
DICLAZURIL (BRD:BRD-A06426627-001-03-5),DICLAZURIL,4,4,0.865276335393425,0.7863983975753774,0.07887793781804753,0.02857142857142857,Sí,0.38228905597326646
EMBELIC ACID (BRD:BRD-K86727142-001-12-4),EMBELIC ACID,4,4,0.9450671917047965,0.905554845326149,0.03951234637864742,0.02857142857142857,Sí,0.38228905597326646
EMETINE (BRD:BRD-A25687296-300-04-3),EMETINE,4,4,0.722438946335915,0.5663975671730546,0.15604137916286043,0.02857142857142857,Sí,0.38228905597326646
GEMCITABINE (BRD:BRD-K15108141-001-06-6),GEMCITABINE,4,4,0.5082607348699275,0.202655840049217,0.3056048948207105,0.02857142857142857,Sí,0.38228905597326646
NMS-1286937 (BRD:BRD-K83699324-001-01-1),NMS-1286937,4,4,0.6275515518637085,0.5245158745592959,0.10303567730441254,0.02857142857142857,Sí,0.38228905597326646
NSC-3852 (BRD:BRD-K13169950-001-14-4),NSC-3852,4,4,0.9333886922732919,0.839305033546235,0.09408365872705693,0.02857142857142857,Sí,0.38228905597326646
AZD8931 (BRD:BRD-K98572433-001-02-9),AZD8931,5,4,0.6579763598081838,0.9050757428214717,-0.24709938301328793,0.031746031746031744,Sí,0.38228905597326646
CLOFARABINE (BRD:BRD-K34022604-001-06-6),CLOFARABINE,4,5,0.8214678863168605,0.68371657072925,0.13775131558761056,0.031746031746031744,Sí,0.38228905597326646
CRENOLANIB (BRD:BRD-K22127577-001-03-7),CRENOLANIB,5,5,0.823307847254675,0.69416512947516,0.12914271777951503,0.031746031746031744,Sí,0.38228905597326646
DANUSERTIB (BRD:BRD-K07881437-001-04-6),DANUSERTIB,5,4,0.769277108195846,0.394844315614417,0.37443279258142903,0.031746031746031744,Sí,0.38228905597326646
FLOXURIDINE (BRD:BRD-K47832606-001-30-1),FLOXURIDINE,5,4,0.769721495140663,0.6458008180850755,0.12392067705558751,0.031746031746031744,Sí,0.38228905597326646
GW-843682X (BRD:BRD-K90382497-001-10-7),GW-843682X,4,5,0.7871989920047845,0.718886004476273,0.06831298752851145,0.031746031746031744,Sí,0.38228905597326646
NERATINIB (BRD:BRD-K85606544-001-09-1),NERATINIB,5,5,0.6875432292406777,0.9327450620755304,-0.24520183283485275,0.031746031746031744,Sí,0.38228905597326646
NMS-E973 (BRD:BRD-K58770988-001-01-8),NMS-E973,5,4,0.706496440982181,0.581233467085293,0.125262973896888,0.031746031746031744,Sí,0.38228905597326646
PACRITINIB (BRD:BRD-K19034817-001-01-4),PACRITINIB,5,4,0.901525973022079,0.86107245284161,0.040453520180468994,0.031746031746031744,Sí,0.38228905597326646
RALTITREXED (BRD:BRD-K89839824-001-05-3),RALTITREXED,5,5,0.661146030816401,0.53745474719539,0.123691283621011,0.031746031746031744,Sí,0.38228905597326646
VERUBULIN (BRD:BRD-K42673188-001-01-1),VERUBULIN,4,5,0.578130457995207,0.281035019342229,0.297095438652978,0.031746031746031744,Sí,0.38228905597326646
VINFLUNINE (BRD:BRD-K64120610-001-01-4),VINFLUNINE,5,5,0.878981810962553,0.546445708489661,0.332536102472892,0.031746031746031744,Sí,0.38228905597326646
WP1130 (BRD:BRD-K43644456-001-04-0),WP1130,5,5,0.796624469247416,0.698229436110131,0.09839503313728504,0.031746031746031744,Sí,0.38228905597326646
AZ-10353926 (BRD:BRD-K19540840-001-09-4),AZ-10353926,3,5,0.828852780448847,0.9002252178543025,-0.07137243740545551,0.03571428571428571,Sí,0.38228905597326646
SN38 (BRD:BRD-K89561498-001-01-7),SN38,5,3,0.501360615378125,0.169698476465036,0.33166213891308904,0.03571428571428571,Sí,0.38228905597326646
