Compuesto completo,Compuesto,n,Líneas celulares,Rho de Spearman,p-valor_Spearman,FDR_Spearman,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor_MannWhitney,Criterio n>=3,FDR_MannWhitney
(+)-CAMPTOTHECIN (BRD:BRD-K37890730-001-15-1),(+)-CAMPTOTHECIN,17.0,17.0,0.2720588235294118,0.2907959385044183,0.7090046175233683,4.0,3.0,0.6129008768708155,0.28389512191629,0.3290057549545255,0.11428571428571428,Sí,0.42448979591836733
1-AZAKENPAULLONE (BRD:BRD-K03273112-001-01-8),1-AZAKENPAULLONE,12.0,12.0,-0.22377622377622378,0.4844516614553987,0.804321107938609,,,,,,,,
1-NAPHTHYL-PP1 (BRD:BRD-K29542628-001-03-9),1-NAPHTHYL-PP1,16.0,16.0,-0.044117647058823525,0.8711220048065985,0.9697975468329533,3.0,4.0,0.879187832861027,0.8483204630610326,0.030867369799994382,0.6285714285714286,Sí,0.8921658986175115
1-PHENYLBIGUANIDE (BRD:BRD-K31491153-003-05-9),1-PHENYLBIGUANIDE,10.0,10.0,0.29696969696969694,0.40470167127015705,0.7734882591591963,,,,,,,,
10-DEACETYLBACCATIN (BRD:BRD-K96631475-001-02-4),10-DEACETYLBACCATIN,18.0,18.0,0.37254901960784315,0.12787268607330352,0.5251701479196605,5.0,4.0,0.886749863282282,0.8053395987739835,0.08141026450829847,0.1111111111111111,Sí,0.42448979591836733
10-HYDROXYCAMPTOTHECIN (BRD:BRD-K63784565-001-06-2),10-HYDROXYCAMPTOTHECIN,21.0,21.0,0.5064935064935064,0.01912895113475244,0.2559221795755516,5.0,4.0,0.526395750484696,0.245346688579506,0.28104906190518997,0.015873015873015872,Sí,0.38228905597326646
17-AAG (BRD:BRD-K81473043-001-19-5),17-AAG,14.0,14.0,-0.43736263736263736,0.11784483174447688,0.5051310020891897,,,,,,,,
"2,3-DCPE (BRD:BRD-K61734568-003-02-1)","2,3-DCPE",11.0,11.0,0.17272727272727276,0.6115423848512369,0.8598597544962456,,,,,,,,
2-METHOXYESTRADIOL (BRD:BRD-K44408410-001-17-6),2-METHOXYESTRADIOL,16.0,16.0,0.07058823529411765,0.7950393023376281,0.9402289225394803,3.0,4.0,0.91151466624058,0.9505961185888088,-0.039081452348228796,1.0,Sí,1.0
212631-79-3 (BRD:BRD-K05104363-001-10-0),212631-79-3,11.0,11.0,0.26363636363636367,0.43344073761161456,0.7797639470669321,,,,,,,,
284461-73-0 (BRD:BRD-K23984367-001-07-5),284461-73-0,11.0,11.0,0.48181818181818187,0.13343383825682875,0.5308699567441867,,,,,,,,
3-DEAZANEPLANOCIN-A (BRD:BRD-K77791657-003-01-7),3-DEAZANEPLANOCIN-A,21.0,21.0,0.4207792207792207,0.05750513790191279,0.3782528700529743,4.0,5.0,0.8685602242291085,0.793046243430845,0.07551398079826355,0.4126984126984127,Sí,0.7268978084688055
5-HYDROXYMETHYL-TOLTERODINE (BRD:BRD-K24603946-001-02-1),5-HYDROXYMETHYL-TOLTERODINE,13.0,13.0,-0.21978021978021978,0.4706148514721425,0.7928869441992983,3.0,4.0,0.815927260961206,0.8278762475581769,-0.011948986596970856,0.8571428571428571,Sí,1.0
7-HYDROXYSTAUROSPORINE (BRD:BRD-K45293975-001-02-0),7-HYDROXYSTAUROSPORINE,15.0,15.0,0.33928571428571425,0.2160289253419548,0.6379717092874452,3.0,4.0,0.72953442656381,0.6894449083447545,0.04008951821905549,0.6285714285714286,Sí,0.8921658986175115
8-HYDROXY-PIPAT (BRD:BRD-A60594020-034-01-1),8-HYDROXY-PIPAT,16.0,16.0,-0.45294117647058824,0.07809874141672499,0.41825598861034996,,,,,,,,
9-AMINOACRIDINE (BRD:BRD-K00535541-001-06-3),9-AMINOACRIDINE,21.0,21.0,0.40389610389610386,0.06939949544788349,0.40853169653654076,5.0,4.0,0.854149156823581,0.835882269406738,0.018266887416842903,0.06349206349206349,Sí,0.38228905597326646
A-1065-5 (BRD:BRD-K87124298-001-03-4),A-1065-5,22.0,22.0,-0.20271033314511577,0.3656032765874888,0.7573771421435671,5.0,5.0,0.755473217708308,0.784009045409897,-0.028535827701589023,0.5476190476190477,Sí,0.8635265700483092
A-154475 (BRD:BRD-A27376179-001-01-3),A-154475,15.0,15.0,0.6285714285714286,0.012079539175905755,0.22192498824595153,3.0,4.0,0.804503013831474,0.6908143080838035,0.11368870574767054,0.05714285714285714,Sí,0.38228905597326646
A-61603 (BRD:BRD-A83650191-004-02-8),A-61603,14.0,14.0,0.221978021978022,0.445629657953609,0.780776068598229,,,,,,,,
