Compuesto completo,Compuesto,n,Líneas celulares,Rho de Spearman,p-valor,FDR
DINACICLIB (BRD:BRD-K13662825-001-07-5),DINACICLIB,21,21,0.7779220779220779,3.305455558896248e-05,0.02918717258505387
ALPELISIB (BRD:BRD-K54997624-001-06-0),ALPELISIB,15,15,-0.8107142857142855,0.0002460079779722061,0.06918380437820139
VELBAN (BRD:BRD-K06519765-065-01-6),VELBAN,21,21,0.7142857142857142,0.00027542157748998224,0.06918380437820139
EMETINE (BRD:BRD-A25687296-300-04-3),EMETINE,20,20,0.7233082706766917,0.00031340341734179564,0.06918380437820139
CANERTINIB (BRD:BRD-K50168500-001-07-9),CANERTINIB,20,20,-0.706766917293233,0.0004940441153149171,0.08724819076461438
CLONAZEPAM (BRD:BRD-K38183498-001-02-0),CLONAZEPAM,20,20,0.6947368421052631,0.0006752714633826033,0.09127794571811906
POZIOTINIB (BRD:BRD-K50010139-001-01-5),POZIOTINIB,13,13,-0.8131868131868131,0.0007236077236996981,0.09127794571811906
BETULINIC-ACID (BRD:BRD-K45401373-001-20-9),BETULINIC-ACID,12,12,0.8251748251748254,0.0009513628555555001,0.09724142871853086
LAPATINIB (BRD:BRD-K19687926-001-04-1),LAPATINIB,18,18,-0.7069143446852425,0.001036757704756385,0.09724142871853086
TUCATINIB (BRD:BRD-K26026438-001-01-0),TUCATINIB,21,21,-0.6597402597402597,0.0011382402645393446,0.09724142871853086
WP1130 (BRD:BRD-K43644456-001-04-0),WP1130,22,22,0.6442687747035574,0.0012113881267314152,0.09724142871853086
CARFILZOMIB (BRD:BRD-K15179879-001-03-2),CARFILZOMIB,21,21,0.6350649350649351,0.001980984234047954,0.14576742322202862
SATRAPLATIN (BRD:BRD-K42497885-001-01-1),SATRAPLATIN,14,14,0.745054945054945,0.002230037316742074,0.14848690265381279
GENZ-644282 (BRD:BRD-K99475619-001-01-2),GENZ-644282,21,21,0.6246753246753247,0.002467394475033326,0.14848690265381279
BNC105 (BRD:BRD-K20468903-001-01-6),BNC105,21,21,0.6220779220779221,0.002603522985558966,0.14848690265381279
SANGIVAMYCIN (BRD:BRD-A64064900-001-02-3),SANGIVAMYCIN,16,16,0.6970588235294117,0.0026905894025605944,0.14848690265381279
BMS-690514 (BRD:BRD-K76239644-001-02-6),BMS-690514,15,15,-0.7107142857142856,0.002978994886802742,0.15190769301653867
SPIRONOLACTONE (BRD:BRD-K90027355-001-13-3),SPIRONOLACTONE,20,20,0.6240601503759398,0.0032741072368306203,0.15190769301653867
AZD8931 (BRD:BRD-K98572433-001-02-9),AZD8931,15,15,-0.7035714285714285,0.0034243370890839593,0.15190769301653867
ARRY-334543 (BRD:BRD-K46386702-001-02-1),ARRY-334543,22,22,-0.5957086391869001,0.003440717848619222,0.15190769301653867
VINDESINE (BRD:BRD-K59753975-001-02-6),VINDESINE,21,21,0.6038961038961038,0.0037439776277835356,0.15742534501585057
SPIRADOLINE (BRD:BRD-K28192623-066-08-1),SPIRADOLINE,18,18,0.6429308565531475,0.004002006540262527,0.15757362130174973
CH5132799 (BRD:BRD-K28352084-001-02-3),CH5132799,14,14,-0.7142857142857143,0.004104409161880231,0.15757362130174973
SEPANTRONIUM BROMIDE (BRD:BRD-K76703230-004-04-1),SEPANTRONIUM BROMIDE,22,22,0.5821569734613213,0.004475556134260241,0.16434076220750218
OSIMERTINIB (BRD:BRD-K42805893-001-04-9),OSIMERTINIB,18,18,-0.6346749226006192,0.004662842748871135,0.16434076220750218
IMILOXAN (BRD:BRD-A10903566-003-07-7),IMILOXAN,10,10,-0.8060606060606059,0.004862061101964607,0.16434076220750218
DCEBIO (BRD:BRD-K89299012-001-06-0),DCEBIO,18,18,0.6305469556243549,0.005025142219255446,0.16434076220750218
OXIBENDAZOLE (BRD:BRD-K52075715-001-06-7),OXIBENDAZOLE,22,22,0.5731225296442689,0.005300506147532188,0.16715524743824722
