compound,n_total_spearman,unique_cell_lines_spearman,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05_spearman,significant_p_0_05_spearman,significant_p_0_10_spearman,n_total_mw,unique_cell_lines_mw,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05_mw,significant_p_0_05_mw,significant_p_0_10_mw
(+)-CAMPTOTHECIN (BRD:BRD-K37890730-001-15-1),17,17,0.2720588235294118,0.2907959385044183,positive,0.7090046175233683,False,False,False,,,,,,,,,,,,,,,
1-AZAKENPAULLONE (BRD:BRD-K03273112-001-01-8),12,12,-0.22377622377622378,0.4844516614553987,negative,0.804321107938609,False,False,False,,,,,,,,,,,,,,,
1-NAPHTHYL-PP1 (BRD:BRD-K29542628-001-03-9),16,16,-0.044117647058823525,0.8711220048065985,negative,0.9697975468329533,False,False,False,7.0,7.0,3.0,4.0,0.8695553812082766,0.8469599516509743,0.879187832861027,0.8483204630610326,0.022595429557302316,0.030867369799994382,0.6285714285714286,0.8589641434262948,False,False,False
1-PHENYLBIGUANIDE (BRD:BRD-K31491153-003-05-9),10,10,0.29696969696969694,0.40470167127015705,positive,0.7734882591591963,False,False,False,,,,,,,,,,,,,,,
10-DEACETYLBACCATIN (BRD:BRD-K96631475-001-02-4),18,18,0.37254901960784315,0.12787268607330352,positive,0.5251701479196605,False,False,False,7.0,7.0,3.0,4.0,0.8851410026261867,0.8015170898098745,0.886749863282282,0.8053395987739835,0.08362391281631221,0.08141026450829847,0.11428571428571428,0.3733333333333333,False,False,False
10-HYDROXYCAMPTOTHECIN (BRD:BRD-K63784565-001-06-2),21,21,0.5064935064935064,0.01912895113475244,positive,0.2559221795755516,False,True,True,7.0,7.0,3.0,4.0,0.52046181621371,0.2253105742793975,0.526395750484696,0.245346688579506,0.2951512419343125,0.28104906190518997,0.05714285714285714,0.33220338983050846,False,False,True
17-AAG (BRD:BRD-K81473043-001-19-5),14,14,-0.43736263736263736,0.11784483174447688,negative,0.5051310020891897,False,False,False,,,,,,,,,,,,,,,
"2,3-DCPE (BRD:BRD-K61734568-003-02-1)",11,11,0.17272727272727276,0.6115423848512369,positive,0.8598597544962456,False,False,False,,,,,,,,,,,,,,,
2-METHOXYESTRADIOL (BRD:BRD-K44408410-001-17-6),16,16,0.07058823529411765,0.7950393023376281,positive,0.9402289225394803,False,False,False,,,,,,,,,,,,,,,
212631-79-3 (BRD:BRD-K05104363-001-10-0),11,11,0.26363636363636367,0.43344073761161456,positive,0.7797639470669321,False,False,False,,,,,,,,,,,,,,,
284461-73-0 (BRD:BRD-K23984367-001-07-5),11,11,0.48181818181818187,0.13343383825682875,positive,0.5308699567441867,False,False,False,,,,,,,,,,,,,,,
3-DEAZANEPLANOCIN-A (BRD:BRD-K77791657-003-01-7),21,21,0.4207792207792207,0.05750513790191279,positive,0.3782528700529743,False,False,True,,,,,,,,,,,,,,,
5-HYDROXYMETHYL-TOLTERODINE (BRD:BRD-K24603946-001-02-1),13,13,-0.21978021978021978,0.4706148514721425,negative,0.7928869441992983,False,False,False,,,,,,,,,,,,,,,
