compound,n_total,unique_cell_lines,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
BI-2536 (BRD:BRD-K64890080-001-13-8),8,8,3,5,0.7261182515073278,0.4623434789928346,0.665063765084559,0.4713849419544,0.26377477251449316,0.193678823130159,0.03571428571428571,0.33220338983050846,False,True,True
CABAZITAXEL (BRD:BRD-K06858286-001-01-3),8,8,3,5,0.4953151604578226,0.2990808143713374,0.502675031021815,0.335904899761882,0.1962343460864852,0.166770131259933,0.03571428571428571,0.33220338983050846,False,True,True
CANERTINIB (BRD:BRD-K50168500-001-07-9),8,8,3,5,0.7990529563745654,0.9544023239699257,0.8212459257585515,0.9505704186043828,-0.15534936759536033,-0.12932449284583136,0.03571428571428571,0.33220338983050846,False,True,True
CEPHALOMANNINE (BRD:BRD-K68904758-001-03-5),8,8,3,5,0.6043711605854886,0.48474852483256925,0.605063795165262,0.488145966218337,0.11962263575291932,0.11691782894692498,0.03571428571428571,0.33220338983050846,False,True,True
CHOLECALCIFEROL (BRD:BRD-K62779383-001-05-5),8,8,3,5,0.8831219511523821,0.828307301100463,0.889310530524525,0.838147155547526,0.0548146500519191,0.051163374976999076,0.03571428571428571,0.33220338983050846,False,True,True
CMPD-1 (BRD:BRD-K54095730-001-03-1),8,8,3,5,0.922332313780848,0.8291677568464412,0.922427072712685,0.836844072749624,0.09316455693440684,0.08558299996306096,0.03571428571428571,0.33220338983050846,False,True,True
CRENOLANIB (BRD:BRD-K22127577-001-03-7),8,8,3,5,0.8556285115314957,0.6663213636982237,0.841697483344696,0.69416512947516,0.18930714783327196,0.147532353869536,0.03571428571428571,0.33220338983050846,False,True,True
CYT-997 (BRD:BRD-K23363278-001-02-1),8,8,3,5,0.6846456075665864,0.5433845010986318,0.66193182367911,0.536603017586546,0.14126110646795464,0.12532880609256392,0.03571428571428571,0.33220338983050846,False,True,True
DINACICLIB (BRD:BRD-K13662825-001-07-5),8,8,3,5,0.8457853692500787,0.5306354163682995,0.7985577259730812,0.554394719775519,0.31514995288177927,0.24416300619756215,0.03571428571428571,0.33220338983050846,False,True,True
DOLASTATIN-10 (BRD:BRD-K78567475-001-01-4),8,8,3,5,0.2961351033606263,0.11332772196206949,0.274578843048274,0.0924247457825988,0.18280738139855685,0.18215409726567522,0.03571428571428571,0.33220338983050846,False,True,True
ER-27319 (BRD:BRD-K11927976-050-02-9),8,8,3,5,0.8685297970330407,0.8007372948747861,0.871633460117594,0.819078247188588,0.06779250215825461,0.052555212929006,0.03571428571428571,0.33220338983050846,False,True,True
EXELBINE (BRD:BRD-K69280563-001-01-8),8,8,3,5,0.7769296647443861,0.5974788065582339,0.78662715980719,0.600253879615388,0.17945085818615214,0.186373280191802,0.03571428571428571,0.33220338983050846,False,True,True
NEMORUBICIN (BRD:BRD-K51911221-001-01-2),8,8,3,5,0.43376965074699664,0.3627226290975924,0.410642695723177,0.398486740184365,0.07104702164940424,0.012155955538812047,0.03571428571428571,0.33220338983050846,False,True,True
OXIBENDAZOLE (BRD:BRD-K52075715-001-06-7),8,8,3,5,0.8794465412252314,0.7856738213878576,0.859592455334568,0.800545761224594,0.09377271983737379,0.059046694109973985,0.03571428571428571,0.33220338983050846,False,True,True
PD-168393 (BRD:BRD-K17702546-001-03-2),8,8,3,5,0.6869811535125923,0.8456072385661819,0.692022417998771,0.845949738432355,-0.15862608505358966,-0.15392732043358404,0.03571428571428571,0.33220338983050846,False,True,True
PHA-767491 (BRD:BRD-K50000283-001-04-4),8,8,3,5,0.9361071449775394,0.8485331064035941,0.947007992418258,0.860359604598509,0.0875740385739453,0.08664838781974893,0.03571428571428571,0.33220338983050846,False,True,True
