compound,n_total,unique_cell_lines,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
DINACICLIB (BRD:BRD-K13662825-001-07-5),21,21,0.7779220779220779,3.305455558896248e-05,positive,0.02918717258505387,True,True,True
ALPELISIB (BRD:BRD-K54997624-001-06-0),15,15,-0.8107142857142855,0.0002460079779722061,negative,0.06918380437820139,False,True,True
VELBAN (BRD:BRD-K06519765-065-01-6),21,21,0.7142857142857142,0.00027542157748998224,positive,0.06918380437820139,False,True,True
EMETINE (BRD:BRD-A25687296-300-04-3),20,20,0.7233082706766917,0.00031340341734179564,positive,0.06918380437820139,False,True,True
CANERTINIB (BRD:BRD-K50168500-001-07-9),20,20,-0.706766917293233,0.0004940441153149171,negative,0.08724819076461438,False,True,True
CLONAZEPAM (BRD:BRD-K38183498-001-02-0),20,20,0.6947368421052631,0.0006752714633826033,positive,0.09127794571811906,False,True,True
POZIOTINIB (BRD:BRD-K50010139-001-01-5),13,13,-0.8131868131868131,0.0007236077236996981,negative,0.09127794571811906,False,True,True
BETULINIC-ACID (BRD:BRD-K45401373-001-20-9),12,12,0.8251748251748254,0.0009513628555555001,positive,0.09724142871853086,False,True,True
LAPATINIB (BRD:BRD-K19687926-001-04-1),18,18,-0.7069143446852425,0.001036757704756385,negative,0.09724142871853086,False,True,True
TUCATINIB (BRD:BRD-K26026438-001-01-0),21,21,-0.6597402597402597,0.0011382402645393446,negative,0.09724142871853086,False,True,True
WP1130 (BRD:BRD-K43644456-001-04-0),22,22,0.6442687747035574,0.0012113881267314152,positive,0.09724142871853086,False,True,True
CARFILZOMIB (BRD:BRD-K15179879-001-03-2),21,21,0.6350649350649351,0.001980984234047954,positive,0.14576742322202862,False,True,True
SATRAPLATIN (BRD:BRD-K42497885-001-01-1),14,14,0.745054945054945,0.002230037316742074,positive,0.14848690265381279,False,True,True
GENZ-644282 (BRD:BRD-K99475619-001-01-2),21,21,0.6246753246753247,0.002467394475033326,positive,0.14848690265381279,False,True,True
BNC105 (BRD:BRD-K20468903-001-01-6),21,21,0.6220779220779221,0.002603522985558966,positive,0.14848690265381279,False,True,True
SANGIVAMYCIN (BRD:BRD-A64064900-001-02-3),16,16,0.6970588235294117,0.0026905894025605944,positive,0.14848690265381279,False,True,True
BMS-690514 (BRD:BRD-K76239644-001-02-6),15,15,-0.7107142857142856,0.002978994886802742,negative,0.15190769301653867,False,True,True
SPIRONOLACTONE (BRD:BRD-K90027355-001-13-3),20,20,0.6240601503759398,0.0032741072368306203,positive,0.15190769301653867,False,True,True
AZD8931 (BRD:BRD-K98572433-001-02-9),15,15,-0.7035714285714285,0.0034243370890839593,negative,0.15190769301653867,False,True,True
ARRY-334543 (BRD:BRD-K46386702-001-02-1),22,22,-0.5957086391869001,0.003440717848619222,negative,0.15190769301653867,False,True,True
VINDESINE (BRD:BRD-K59753975-001-02-6),21,21,0.6038961038961038,0.0037439776277835356,positive,0.15742534501585057,False,True,True
SPIRADOLINE (BRD:BRD-K28192623-066-08-1),18,18,0.6429308565531475,0.004002006540262527,positive,0.15757362130174973,False,True,True
CH5132799 (BRD:BRD-K28352084-001-02-3),14,14,-0.7142857142857143,0.004104409161880231,negative,0.15757362130174973,False,True,True
SEPANTRONIUM BROMIDE (BRD:BRD-K76703230-004-04-1),22,22,0.5821569734613213,0.004475556134260241,positive,0.16434076220750218,False,True,True
OSIMERTINIB (BRD:BRD-K42805893-001-04-9),18,18,-0.6346749226006192,0.004662842748871135,negative,0.16434076220750218,False,True,True
IMILOXAN (BRD:BRD-A10903566-003-07-7),10,10,-0.8060606060606059,0.004862061101964607,negative,0.16434076220750218,False,True,True
DCEBIO (BRD:BRD-K89299012-001-06-0),18,18,0.6305469556243549,0.005025142219255446,positive,0.16434076220750218,False,True,True
OXIBENDAZOLE (BRD:BRD-K52075715-001-06-7),22,22,0.5731225296442689,0.005300506147532188,positive,0.16715524743824722,False,True,True
