ID,Description_es
GO:0002274,activación de leucocitos mieloides
GO:0043062,organización de estructuras extracelulares
GO:0030198,organización de la matriz extracelular
GO:0045229,organización de estructuras envolventes externas
GO:0061448,desarrollo del tejido conectivo
GO:0035924,respuesta celular al estímulo del factor de crecimiento endotelial vascular
GO:0048839,desarrollo del oído interno
GO:0043583,desarrollo del oído
GO:0008015,circulación sanguínea
GO:0042063,gliogénesis
GO:0043542,migración de células endoteliales
GO:0048661,regulación positiva de la proliferación de células musculares lisas
GO:1903978,regulación de la activación de células microgliales
GO:0007528,desarrollo de la unión neuromuscular
GO:0050878,regulación de los niveles de fluidos corporales
GO:0005201,componente estructural de la matriz extracelular
GO:0005178,unión a integrinas
GO:0019838,unión a factores de crecimiento
GO:0015280,actividad de canal de sodio activado por ligando
GO:0030312,estructura envolvente externa
GO:0031012,matriz extracelular
GO:0062023,matriz extracelular con colágeno
GO:0016324,membrana plasmática apical
GO:0005911,unión célula-célula
GO:0030133,vesícula de transporte
GO:0045177,región apical de la célula
GO:0005912,unión adherente
GO:0098797,complejo proteico de la membrana plasmática
GO:0070382,vesícula exocítica
GO:0005581,trímero de colágeno
GO:0043235,complejo receptor
GO:0005583,trímero de colágeno fibrilar
GO:0098643,fibrilla de colágeno estriada
