gene_original,SYMBOL,ENTREZID
TSPAN6 (7105),TSPAN6,7105
DPM1 (8813),DPM1,8813
SCYL3 (57147),SCYL3,57147
FIRRM (55732),FIRRM,55732
FGR (2268),FGR,2268
CFH (3075),CFH,3075
FUCA2 (2519),FUCA2,2519
GCLC (2729),GCLC,2729
NFYA (4800),NFYA,4800
STPG1 (90529),STPG1,90529
NIPAL3 (57185),NIPAL3,57185
LAS1L (81887),LAS1L,81887
ENPP4 (22875),ENPP4,22875
SEMA3F (6405),SEMA3F,6405
CFTR (1080),CFTR,1080
ANKIB1 (54467),ANKIB1,54467
CYP51A1 (1595),CYP51A1,1595
KRIT1 (889),KRIT1,889
RAD52 (5893),RAD52,5893
MYH16 (84176),MYH16,84176
BAD (572),BAD,572
LAP3 (51056),LAP3,51056
CD99 (4267),CD99,4267
HS3ST1 (9957),HS3ST1,9957
AOC1 (26),AOC1,26
WNT16 (51384),WNT16,51384
HECW1 (23072),HECW1,23072
MAD1L1 (8379),MAD1L1,8379
LASP1 (3927),LASP1,3927
SNX11 (29916),SNX11,29916
TMEM176A (55365),TMEM176A,55365
M6PR (4074),M6PR,4074
KLHL13 (90293),KLHL13,90293
CYP26B1 (56603),CYP26B1,56603
ICA1 (3382),ICA1,3382
DBNDD1 (79007),DBNDD1,79007
ALS2 (57679),ALS2,57679
CASP10 (843),CASP10,843
CFLAR (8837),CFLAR,8837
TFPI (7035),TFPI,7035
NDUFAF7 (55471),NDUFAF7,55471
RBM5 (10181),RBM5,10181
MTMR7 (9108),MTMR7,9108
SLC7A2 (6542),SLC7A2,6542
ARF5 (381),ARF5,381
SARM1 (23098),SARM1,23098
POLDIP2 (26073),POLDIP2,26073
PLXND1 (23129),PLXND1,23129
AK2 (204),AK2,204
CD38 (952),CD38,952
FKBP4 (2288),FKBP4,2288
KDM1A (23028),KDM1A,23028
RBM6 (10180),RBM6,10180
CAMKK1 (84254),CAMKK1,84254
RECQL (5965),RECQL,5965
VPS50 (55610),VPS50,55610
HSPB6 (126393),HSPB6,126393
ARHGAP33 (115703),ARHGAP33,115703
NDUFAB1 (4706),NDUFAB1,4706
PDK4 (5166),PDK4,5166
ZMYND10 (51364),ZMYND10,51364
ARX (170302),ARX,170302
SLC25A13 (10165),SLC25A13,10165
ST7 (7982),ST7,7982
CDC27 (996),CDC27,996
CALCR (799),CALCR,799
HCCS (3052),HCCS,3052
DVL2 (1856),DVL2,1856
PRSS22 (64063),PRSS22,64063
UPF1 (5976),UPF1,5976
SKAP2 (8935),SKAP2,8935
SLC25A5 (292),SLC25A5,292
MCUB (55013),MCUB,55013
HOXA11 (3207),HOXA11,3207
POLR2J (5439),POLR2J,5439
DHX33 (56919),DHX33,56919
MEOX1 (4222),MEOX1,4222
THSD7A (221981),THSD7A,221981
LIG3 (3980),LIG3,3980
RPAP3 (79657),RPAP3,79657
ACSM3 (6296),ACSM3,6296
REXO5 (81691),REXO5,81691
CIAPIN1 (57019),CIAPIN1,57019
SPPL2B (56928),SPPL2B,56928
ATOSB (80256),ATOSB,80256
COPZ2 (51226),COPZ2,51226
PRKAR2B (5577),PRKAR2B,5577
MSL3 (10943),MSL3,10943
CREBBP (1387),CREBBP,1387
TSPOAP1 (9256),TSPOAP1,9256
MPO (4353),MPO,4353
PON1 (5444),PON1,5444
GCFC2 (6936),GCFC2,6936
WDR54 (84058),WDR54,84058
CROT (54677),CROT,54677
ABCB4 (5244),ABCB4,5244
KMT2E (55904),KMT2E,55904
RHBDD2 (57414),RHBDD2,57414
SOX8 (30812),SOX8,30812
IBTK (25998),IBTK,25998
ZNF195 (7748),ZNF195,7748
MYCBP2 (23077),MYCBP2,23077
FBXL3 (26224),FBXL3,26224
ITGAL (3683),ITGAL,3683
PDK2 (5164),PDK2,5164
ITGA3 (3675),ITGA3,3675
ZFX (7543),ZFX,7543
LAMP2 (3920),LAMP2,3920
ITGA2B (3674),ITGA2B,3674
GDE1 (51573),GDE1,51573
REX1BD (55049),REX1BD,55049
CRLF1 (9244),CRLF1,9244
OSBPL7 (114881),OSBPL7,114881
TMEM98 (26022),TMEM98,26022
YBX2 (51087),YBX2,51087
MAP3K14 (9020),MAP3K14,9020
ABCC8 (6833),ABCC8,6833
TMEM132A (54972),TMEM132A,54972
AP2B1 (163),AP2B1,163
ZNF263 (10127),ZNF263,10127
CX3CL1 (6376),CX3CL1,6376
SPATA20 (64847),SPATA20,64847
CACNA1G (8913),CACNA1G,8913
TNFRSF12A (51330),TNFRSF12A,51330
DLX6 (1750),DLX6,1750
MAP3K9 (4293),MAP3K9,4293
RALA (5898),RALA,5898
BAIAP2L1 (55971),BAIAP2L1,55971
KDM7A (80853),KDM7A,80853
ETV1 (2115),ETV1,2115
AGK (55750),AGK,55750
ALDH3B1 (221),ALDH3B1,221
TTC22 (55001),TTC22,55001
PHTF2 (57157),PHTF2,57157
CCL26 (10344),CCL26,10344
FARP2 (9855),FARP2,9855
USH1C (10083),USH1C,10083
GGCT (79017),GGCT,79017
DBF4 (10926),DBF4,10926
TBXA2R (6915),TBXA2R,6915
IFRD1 (3475),IFRD1,3475
COX10 (1352),COX10,1352
GTF2IRD1 (9569),GTF2IRD1,9569
PAF1 (54623),PAF1,54623
VPS41 (27072),VPS41,27072
ARHGAP44 (9912),ARHGAP44,9912
ELAC2 (60528),ELAC2,60528
SCIN (85477),SCIN,85477
ARSD (414),ARSD,414
PNPLA4 (8228),PNPLA4,8228
ADIPOR2 (79602),ADIPOR2,79602
CDKL3 (51265),CDKL3,51265
UPP2 (151531),UPP2,151531
MARK4 (57787),MARK4,57787
PROM1 (8842),PROM1,8842
CCDC124 (115098),CCDC124,115098
PAFAH1B1 (5048),PAFAH1B1,5048
DNAH9 (1770),DNAH9,1770
BLTP2 (9703),BLTP2,9703
